Date,YOY (%),,,,
31/3/1993,-0.016202822,,,,
30/4/1993,-0.004088823,,,,
31/5/1993,-0.018776674,,,,
30/6/1993,6.35968E-05,,,,
30/7/1993,0.003800075,,,,
31/8/1993,-0.016469537,,,,
30/9/1993,-0.013210668,,,,
29/10/1993,0.024013814,,,,
30/11/1993,-0.013341797,,,,
31/12/1993,-0.006271965,,,,
31/1/1994,-0.001076343,,,,
28/2/1994,-0.011915316,,,,
31/3/1994,-0.01156693,,,,
29/4/1994,-0.0036369,,,,
31/5/1994,0.014915264,,,,
30/6/1994,-0.009297222,,,,
29/7/1994,0.000541483,,,,
31/8/1994,-0.009567283,,,,
30/9/1994,0.007274898,,,,
31/10/1994,0.004194117,,,,
30/11/1994,-0.011213048,,,,
30/12/1994,0.003914066,,,,
31/1/1995,0.011743533,,,,
28/2/1995,0.035378433,,,,
31/3/1995,0.014335684,,,,
28/4/1995,-0.019176435,,,,
31/5/1995,-0.001701509,,,,
30/6/1995,0.003465974,,,,
31/7/1995,-0.01861799,,,,
31/8/1995,-0.012084686,,,,
29/9/1995,0.004617327,,,,
31/10/1995,-0.004787152,,,,
30/11/1995,-0.000381593,,,,
29/12/1995,-0.013420372,,,,
31/1/1996,-0.012288072,,,,
29/2/1996,-0.022938656,,,,
29/3/1996,-0.000589149,,,,
30/4/1996,0.022504814,,,,
31/5/1996,-0.017740189,,,,
28/6/1996,-0.004005998,,,,
31/7/1996,-0.002691879,,,,
30/8/1996,-0.032329288,,,,
30/9/1996,0.013720515,,,,
31/10/1996,-0.018150831,,,,
29/11/1996,-0.00202291,,,,
31/12/1996,-0.064861586,,,,
31/1/1997,-0.043644039,,,,
28/2/1997,0.012734045,,,,
31/3/1997,0.028525605,,,,
30/4/1997,-0.001599751,,,,
30/5/1997,0.037800851,,,,
30/6/1997,-0.039981871,,,,
31/7/1997,-0.018009502,,,,
29/8/1997,0.003644144,,,,
30/9/1997,-0.032135287,,,,
31/10/1997,-0.00794022,,,,
28/11/1997,0.005762417,,,,
31/12/1997,0.007043143,,,,
30/1/1998,-0.012186216,,,,
27/2/1998,-0.010296389,,,,
31/3/1998,0.018522786,,,,
30/4/1998,0.009623761,,,,
29/5/1998,-0.003279419,,,,
30/6/1998,-0.019110424,,,,
31/7/1998,-0.042519488,,,,
31/8/1998,-0.019080856,,,,
30/9/1998,-0.009746496,,,,
30/10/1998,0.03625209,,,,
30/11/1998,0.163310034,,,,
31/12/1998,-0.039181498,,,,
29/1/1999,-0.074310906,,,,
26/2/1999,0.018111734,,,,
31/3/1999,0.009628395,,,,
30/4/1999,-0.002707194,,,,
31/5/1999,-0.019293443,,,,
30/6/1999,-0.043090783,,,,
30/7/1999,-0.01928676,,,,
31/8/1999,-0.009152469,,,,
30/9/1999,0.036665484,,,,
29/10/1999,0.16285274,,,,
30/11/1999,-0.039181498,,,,
31/12/1999,-0.024442048,,,,
31/1/2000,0.003727109,,,,
29/2/2000,0.069992787,,,,
31/3/2000,-0.035306977,,,,
28/4/2000,-0.013549403,,,,
31/5/2000,0.005140251,,,,
30/6/2000,0.014465704,,,,
31/7/2000,-0.008837593,,,,
31/8/2000,-0.006435754,,,,
29/9/2000,0.016335227,,,,
31/10/2000,-0.003259385,,,,
30/11/2000,-0.015780235,,,,
29/12/2000,-0.001229778,,,,
31/1/2001,-0.045589197,,,,
28/2/2001,-0.004306163,,,,
30/3/2001,0.0114179,,,,
30/4/2001,-0.001473597,,,,
31/5/2001,0.056962776,,,,
29/6/2001,0.004469044,,,,
31/7/2001,-0.014465996,,,,
31/8/2001,-0.004676385,,,,
28/9/2001,0.034419883,,,,
31/10/2001,0.002044715,,,,
30/11/2001,-0.014587275,,,,
31/12/2001,-0.003759553,,,,
31/1/2002,0.026335073,,,,
28/2/2002,0.056851733,,,,
29/3/2002,-0.008115993,,,,
30/4/2002,0.023565421,,,,
31/5/2002,0.02139517,,,,
28/6/2002,-0.000144787,,,,
31/7/2002,-0.041674311,,,,
30/8/2002,-0.002252889,,,,
30/9/2002,0.027263054,,,,
31/10/2002,-0.008371952,,,,
29/11/2002,-0.002096438,,,,
31/12/2002,0.032136735,,,,
31/1/2003,0.051755084,,,,
28/2/2003,-0.001080645,,,,
31/3/2003,-0.052061106,,,,
30/4/2003,-0.039135616,,,,
30/5/2003,0.050336099,,,,
30/6/2003,-0.002271233,,,,
31/7/2003,-0.00200564,,,,
29/8/2003,0.034732631,,,,
30/9/2003,0.04886579,,,,
31/10/2003,-0.019145592,,,,
28/11/2003,0.028722004,,,,
31/12/2003,0.019826598,,,,
30/1/2004,0.002624013,,,,
27/2/2004,-0.022346422,,,,
31/3/2004,0.019867993,,,,
30/4/2004,0.003361493,,,,
31/5/2004,-0.049286993,,,,
30/6/2004,0.016679346,,,,
30/7/2004,0.009429509,,,,
31/8/2004,0.009023563,,,,
30/9/2004,0.010864617,,,,
29/10/2004,0.026139962,,,,
30/11/2004,0.024702072,,,,
31/12/2004,-0.007874374,,,,
31/1/2005,-0.030754813,,,,
28/2/2005,0.001299865,,,,
31/3/2005,0.018562545,,,,
29/4/2005,-0.001461542,,,,
31/5/2005,-0.007298285,,,,
30/6/2005,0.043210967,,,,
29/7/2005,-0.009596682,,,,
31/8/2005,0.020746405,,,,
30/9/2005,0.04394865,,,,
31/10/2005,0.039551235,,,,
30/11/2005,0.024763729,,,,
30/12/2005,0.06667652,,,,
31/1/2006,0.065866178,,,,
28/2/2006,0.017435088,,,,
31/3/2006,6.31483E-05,,,,
28/4/2006,0.084599463,,,,
31/5/2006,0.084970389,,,,
30/6/2006,-0.113578016,,,,
31/7/2006,0.06215466,,,,
31/8/2006,-0.006573624,,,,
29/9/2006,-0.051490714,,,,
31/10/2006,-0.016430838,,,,
30/11/2006,0.060627555,,,,
29/12/2006,-0.00918521,,,,
31/1/2007,0.010868073,,,,
28/2/2007,0.049357274,,,,
