Quarter,000001.SS,^BSESN,^BVSP,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI
Q3 2015,1.0,0.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0
Q3 2016,1.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.5,1.0
Q3 2017,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Q3 2018,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Q3 2019,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Q4 1998,1.0,0.0,1.0,0.0,1.0,0.75,0.0,0.0,1.0,1.0
Q4 1999,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q4 2001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q4 2002,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
Q4 2003,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0
Q4 2004,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.75,0.0
Q4 2005,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q4 2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q4 2007,0.5,1.0,0.0,0.25,0.25,0.0,0.75,0.75,0.0,0.0
Q4 2008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Q4 2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q4 2010,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q4 2011,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Q4 2012,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0
Q4 2013,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.75,0.0
Q4 2014,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Q4 2015,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Q4 2016,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Q4 2017,1.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.25,0.0
Q4 2018,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Q4 2019,1.0,1.0,0.0,1.0,1.0,1.0,0.25,0.25,1.0,1.0
