Quarter,000001.SS,^BSESN,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI,^BVSP
Q1 1998,-0.0091518751666666,-0.0091518751666666,-0.029354207,-0.045901639,-0.04109589,0.018050542,-0.0091518751666666,-0.041025641,0.084415584,-0.0091518751666666
Q1 1999,0.0114443888333333,0.0114443888333333,0.055702918,0.06993007,0.040540541,0.097457627,0.0114443888333333,-0.183246073,-0.01171875,0.0114443888333333
Q1 2001,-0.0082354611428571,-0.0082354611428571,0.012145749,0.020618557,0.00625,-0.003875969,0.024469821,-0.125827815,0.008571429,-0.0082354611428571
Q1 2002,-0.146417445,0.000660004,0.062880325,0.06300813,0.059670782,0.033730159,-0.029752066,-0.021126761,-0.016713092,0.000660004
Q1 2003,-0.094339623,-0.03220273375,0.0,0.018223235,-0.007177033,-0.022222222,-0.046153846,-0.214285714,0.108333333,-0.03220273375
Q1 2004,0.19047619,0.059785680625,-0.004761905,0.035490605,-0.016786571,0.048192771,0.0968523,0.142857143,-0.014035088,0.059785680625
Q1 2005,-0.097251586,-0.026406151625,-0.011173184,0.017621145,-0.02247191,0.028436019,-0.008241758,-0.038167939,-0.08,-0.026406151625
Q1 2006,-0.057692308,0.15392647225,0.182634731,0.107843137,0.171686747,0.128959276,0.154394299,0.264516129,0.279069767,0.15392647225
Q1 2007,0.132013201,0.03547697875,0.034398034,0.034907598,0.032338308,-0.014705882,0.03125,-0.035087719,0.06870229,0.03547697875
Q1 2008,-0.083521445,0.02888826925,0.028915663,0.033407572,0.00248139,-0.016042781,0.04494382,0.118881119,0.102040816,0.02888826925
Q1 2009,0.149090909,0.0782429068749999,0.016666667,-0.070844687,0.019543974,0.162698413,0.255434783,0.102362205,-0.009009009,0.0782429068749999
Q1 2010,-0.046703297,-0.0187529605,-0.034090909,0.025,-0.061349693,0.032171582,0.01986755,-0.015267176,-0.069651741,-0.0187529605
Q1 2011,0.007731959,0.0369341301249999,0.072674419,0.008042895,0.105960265,0.020648968,-0.070707071,0.008264463,0.142857143,0.0369341301249999
Q1 2012,0.029239766,0.042475728,-0.059748428,0.047393365,-0.10989011,0.040609137,-0.076923077,-0.052083333,0.0,-0.015436328
