Quarter,Percentage Change,index
Q1 1988,-806167090.0366974,^FCHI
Q2 1988,-669704660.8215027,^FCHI
Q3 1988,-927376600.3576964,^FCHI
Q4 1988,-2215659748.5729065,^FCHI
Q1 1989,-816637803.6573944,^FCHI
Q2 1989,-1193146274.850891,^FCHI
Q3 1989,-501063093.9878006,^FCHI
Q4 1989,-2160163471.830307,^FCHI
Q1 1990,-1488885660.3226013,^FCHI
Q2 1990,-2668194273.8354034,^FCHI
Q3 1990,-2558152590.9013977,^FCHI
Q4 1990,-3228995709.172989,^FCHI
Q1 1991,-5312893876.480698,^FCHI
Q2 1991,-966139750.0737,^FCHI
Q3 1991,-244625273.446106,^FCHI
Q4 1991,5403458.21321106,^FCHI
Q1 1992,-1687748398.4539948,^FCHI
Q2 1992,2110062683.075012,^FCHI
Q3 1992,635084913.2050018,^FCHI
Q4 1992,2836030696.7559967,^FCHI
Q1 1993,-820312500.0,^FCHI
Q2 1993,1618462515.572998,^FCHI
Q3 1993,4609039951.091995,^FCHI
Q4 1993,3582595443.9161987,^FCHI
Q1 1994,2101496414.201294,^FCHI
Q2 1994,1096793137.2187042,^FCHI
Q3 1994,2340670876.507904,^FCHI
Q4 1994,1876313598.592697,^FCHI
Q1 1995,4548599847.935013,^FCHI
Q2 1995,3369255702.695999,^FCHI
Q3 1995,376643014.2220001,^FCHI
Q4 1995,2545838065.876999,^FCHI
Q1 1996,6624655172.755997,^FCHI
Q2 1996,2897985033.152008,^FCHI
Q3 1996,5492826410.587402,^FCHI
Q4 1996,5545145775.215012,^FCHI
Q1 1997,8782998703.487,^FCHI
Q2 1997,10546209107.003998,^FCHI
Q3 1997,8121147013.457993,^FCHI
Q4 1997,10350793802.768995,^FCHI
Q1 1998,8843670568.063995,^FCHI
Q2 1998,8395400500.158005,^FCHI
Q3 1998,9880906009.809998,^FCHI
Q4 1998,10578568799.093994,^FCHI
Q1 1999,10772250575.933014,^FCHI
Q2 1999,14115760549.862,^FCHI
Q3 1999,15124834757.979004,^FCHI
Q4 1999,10679576757.46399,^FCHI
Q1 2000,1916473273.317001,^FCHI
Q2 2000,6523206216.877991,^FCHI
Q3 2000,4968326496.0660095,^FCHI
Q4 2000,2717174571.9570007,^FCHI
Q1 2001,6348630803.287003,^FCHI
Q2 2001,1176269434.6159973,^FCHI
Q3 2001,7259313982.312012,^FCHI
Q4 2001,6181171059.37999,^FCHI
Q1 2002,5947399084.563995,^FCHI
Q2 2002,1335063622.1569977,^FCHI
Q3 2002,6648776714.337006,^FCHI
Q4 2002,3719769290.950012,^FCHI
Q1 2003,5752199023.873993,^FCHI
Q2 2003,-1357186739.0099792,^FCHI
Q3 2003,5852436083.876984,^FCHI
Q4 2003,5737401220.59198,^FCHI
Q1 2004,5474167928.709015,^FCHI
Q2 2004,1418945207.4779968,^FCHI
Q3 2004,4414256802.671997,^FCHI
Q4 2004,-2140947830.0210264,^FCHI
Q1 2005,2622140504.941986,^FCHI
Q2 2005,-1505368712.1430054,^FCHI
Q3 2005,3024335004.334015,^FCHI
Q4 2005,-4283792831.5610046,^FCHI
Q1 2006,5597466997.535004,^FCHI
Q2 2006,-3738155278.9279785,^FCHI
Q3 2006,2404121045.9720154,^FCHI
Q4 2006,-3749112225.5880127,^FCHI
Q1 2007,6387220525.087006,^FCHI
Q2 2007,-6018030252.473999,^FCHI
Q3 2007,1201723106.8299866,^FCHI
Q4 2007,-10289422340.916016,^FCHI
Q1 2008,-4454441419.675049,^FCHI
Q2 2008,-17770391348.778015,^FCHI
Q3 2008,1732259429.2730105,^FCHI
Q4 2008,-7670440018.601013,^FCHI
Q1 2009,-4759950950.201996,^FCHI
Q2 2009,-15939149383.408997,^FCHI
Q3 2009,7664265304.042023,^FCHI
Q4 2009,-9064750044.007996,^FCHI
Q1 2010,-5827825151.037018,^FCHI
Q2 2010,-13401214915.972015,^FCHI
Q3 2010,3124257384.944,^FCHI
Q4 2010,-5926285505.699982,^FCHI
Q1 2011,-15749372489.893003,^FCHI
Q2 2011,-9581654247.705994,^FCHI
Q3 2011,-689838330.8720093,^FCHI
Q4 2011,-3487737983.2049866,^FCHI
Q1 2012,-12075302184.61499,^FCHI
Q2 2012,-11027908848.385986,^FCHI
Q3 2012,-4118305763.076996,^FCHI
Q4 2012,-5656178137.5,^FCHI
Q1 2013,-11095925129.031982,^FCHI
Q2 2013,-6580795536.507996,^FCHI
Q3 2013,-5663512675.756989,^FCHI
Q4 2013,-1042510440.625,^FCHI
Q1 2014,-16846470476.188995,^FCHI
Q2 2014,-19489796733.87097,^FCHI
Q3 2014,-2574235754.5460205,^FCHI
Q4 2014,1557256640.625,^FCHI
Q1 2015,-10256909142.856997,^FCHI
Q2 2015,1239008754.8379822,^FCHI
Q3 2015,16674750.0,^FCHI
Q4 2015,-129241950.76901244,^FCHI
Q1 2016,-17848711152.579987,^FCHI
Q2 2016,-534467107.5390015,^FCHI
Q3 2016,-2424536087.121002,^FCHI
Q4 2016,8602646765.625,^FCHI
Q1 2017,-23603140434.46201,^FCHI
Q2 2017,-4022225789.515991,^FCHI
Q3 2017,4793104149.22998,^FCHI
Q4 2017,4853654868.570984,^FCHI
Q1 2018,-22409068114.28601,^FCHI
Q2 2018,-8950476457.143005,^FCHI
Q3 2018,823683159.6919556,^FCHI
Q4 2018,6151414386.25,^FCHI
Q1 2019,-7212602879.999023,^FCHI
Q2 2019,2510795280.0,^FCHI
Q3 2019,2789196376.968994,^FCHI
Q4 2019,15611858784.375,^FCHI
Q1 2020,-16094439043.75,^FCHI
Q2 2020,-21160895403.226013,^FCHI
Q3 2020,-13688878325.45401,^FCHI
Q4 2020,9563228386.461,^FCHI
Q1 2021,-7943801321.905029,^FCHI
Q2 2021,-2074293613.333008,^FCHI
Q3 2021,2663023657.1210327,^FCHI
Q4 2021,17223327550.30298,^FCHI
Q1 2022,-16440415715.937988,^FCHI
Q2 2022,-11802842760.476011,^FCHI
Q3 2022,-20285120713.03003,^FCHI
Q4 2022,-8143433469.375,^FCHI
Q1 2023,-12245468129.539,^FCHI
Q2 2023,-10394925135.807009,^FCHI
Q3 2023,-10050858441.537964,^FCHI
