DATE,DDSI02GBA156NWDB
1998-01-01,3.2
1999-01-01,3
2000-01-01,2.5
2001-01-01,2.6
2002-01-01,2.6
2003-01-01,2.5
2004-01-01,1.9
2005-01-01,1
2006-01-01,0.9
2007-01-01,0.9
2008-01-01,1.6
2009-01-01,3.5
2010-01-01,3.9548300000000003
2011-01-01,3.96187
2012-01-01,3.5862800000000004
2013-01-01,3.11174
2014-01-01,1.6543900000000002
2015-01-01,1.01451
2016-01-01,0.940161
2017-01-01,0.7346600000000001
2018-01-01,1.07263
