Quarter,Percentage Change,index
Q1 2009,-0.002982107,^GDAXI
Q2 2009,-0.012961117,^GDAXI
Q3 2009,0,^GDAXI
Q4 2009,0.004040404,^GDAXI
Q1 2010,-0.00804829,^GDAXI
Q2 2010,0.012170385,^GDAXI
Q3 2010,0.008016032,^GDAXI
Q4 2010,0.003976143,^GDAXI
Q1 2011,0.004950495,^GDAXI
Q2 2011,0.003940887,^GDAXI
Q3 2011,0.011776251,^GDAXI
Q4 2011,0.000969932,^GDAXI
Q1 2012,0.00872093,^GDAXI
Q2 2012,0.012487992,^GDAXI
Q3 2012,0.003795066,^GDAXI
Q4 2012,0.007561437,^GDAXI
Q1 2013,0.00750469,^GDAXI
Q2 2013,0.011173184,^GDAXI
Q3 2013,0.009208103,^GDAXI
Q4 2013,-0.004562044,^GDAXI
Q1 2014,0.007332722,^GDAXI
Q2 2014,0.020018198,^GDAXI
Q3 2014,0.005352364,^GDAXI
Q4 2014,0,^GDAXI
Q1 2015,0.016858917,^GDAXI
Q2 2015,0.020942408,^GDAXI
Q3 2015,0.005128205,^GDAXI
Q4 2015,0.014455782,^GDAXI
Q1 2016,0.020117351,^GDAXI
Q2 2016,0.028759244,^GDAXI
Q3 2016,0.018370607,^GDAXI
Q4 2016,0.014117647,^GDAXI
Q1 2017,0.004640371,^GDAXI
Q2 2017,0.020015396,^GDAXI
Q3 2017,0.016603774,^GDAXI
Q4 2017,0.020044543,^GDAXI
Q1 2018,0.008733624,^GDAXI
Q2 2018,0.019480519,^GDAXI
Q3 2018,0.020523708,^GDAXI
Q4 2018,0.012482663,^GDAXI
Q1 2019,0,^GDAXI
Q2 2019,0.025342466,^GDAXI
Q3 2019,0.014028056,^GDAXI
Q4 2019,0.024374177,^GDAXI
Q1 2020,0.008360129,^GDAXI
Q2 2020,0.017857143,^GDAXI
Q3 2020,0.030075188,^GDAXI
Q4 2020,0.028588808,^GDAXI
Q1 2021,0.013601419,^GDAXI
Q2 2021,0.037922987,^GDAXI
Q3 2021,0.042158516,^GDAXI
Q4 2021,0.026968716,^GDAXI
Q1 2022,0.004726891,^GDAXI
Q2 2022,0.019341349,^GDAXI
Q3 2022,-0.007179487,^GDAXI
Q4 2022,-0.051652893,^GDAXI
Q1 2023,-0.028867102,^GDAXI
Q2 2023,-0.015143017,^GDAXI
