DATE,DDSI02USA156NWDB
1998-01-01,1
1999-01-01,1
2000-01-01,1.1
2001-01-01,1.3
2002-01-01,1.4
2003-01-01,1.1
2004-01-01,0.8
2005-01-01,0.7
2006-01-01,0.8
2007-01-01,1.4
2008-01-01,3.0
2009-01-01,5
2010-01-01,4.38774
2011-01-01,3.7815
2012-01-01,3.3172900000000003
2013-01-01,2.4523900000000003
2014-01-01,1.8507099999999999
2015-01-01,1.47343
2016-01-01,1.3205200000000001
2017-01-01,1.1268200000000002
2018-01-01,0.913162
2019-01-01,0.855252
