Date,YOY (%)
6/1/2002,0.05010
5/1/2002,-0.04790
4/1/2002,0.02940
3/1/2002,0.19390
2/1/2002,0.09610
1/1/2002,-0.04180
12/1/2001,-0.00110
11/1/2001,-0.09200
10/1/2001,-0.11190
9/1/2001,-0.14690
8/1/2001,0.05590
7/1/2001,0.01910
6/1/2001,-0.08360
5/1/2001,-0.02800
4/1/2001,0.07110
3/1/2001,-0.04800
2/1/2001,-0.03630
1/1/2001,0.11180
12/1/2000,-0.19460
11/1/2000,0.06500
10/1/2000,0.06280
9/1/2000,-0.04190
8/1/2000,0.22210
7/1/2000,-0.13210
6/1/2000,0.15760
5/1/2000,0.13660
4/1/2000,-0.01630
3/1/2000,-0.06220
2/1/2000,0.14160
1/1/2000,0.10600
12/1/1999,0.06630
11/1/1999,0.13770
10/1/1999,-0.11180
9/1/1999,0.11080
8/1/1999,0.07220
7/1/1999,0.05550
6/1/1999,0.14000
5/1/1999,-0.09300
4/1/1999,0.11010
3/1/1999,0.36160
2/1/1999,-0.04800
1/1/1999,0.05390
12/1/1998,0.03390
11/1/1998,-0.23560
10/1/1998,-0.11740
9/1/1998,0.19180
8/1/1998,-0.08690
7/1/1998,-0.02150
6/1/1998,-0.12090
5/1/1998,-0.05670
4/1/1998,-0.03610
3/1/1998,-0.01500
2/1/1998,-0.11500
1/1/1998,-0.03620
12/1/1997,-0.09150
11/1/1997,-0.09960
10/1/1997,-0.00480
9/1/1997,0.07210
8/1/1997,-0.03560
7/1/1997,0.01000
6/1/1997,-0.06750
5/1/1997,0.03420
4/1/1997,-0.01510
3/1/1997,0.00230
2/1/1997,-0.15120
1/1/1997,-0.04700
12/1/1996,0.11410
11/1/1996,0.02300
10/1/1996,-0.02700
9/1/1996,0.12570
8/1/1996,0.11730
7/1/1996,0.00970
6/1/1996,0.10300
5/1/1996,-0.02580
4/1/1996,0.08460
3/1/1996,0.14830
2/1/1996,0.13010
1/1/1996,-0.07120
12/1/1995,0.09490
11/1/1995,0.04680
10/1/1995,0.02040
9/1/1995,0.00430
8/1/1995,0.02920
7/1/1995,0.02280
6/1/1995,-0.07170
5/1/1995,-0.06330
4/1/1995,0.06960
3/1/1995,0.04060
2/1/1995,0.01560
1/1/1995,0.03950
12/1/1994,-0.01830
11/1/1994,-0.00120
10/1/1994,-0.01660
9/1/1994,0.03790
8/1/1994,-0.12550
7/1/1994,0.08190
6/1/1994,0.09060
5/1/1994,0.11090
4/1/1994,0.14690
3/1/1994,0.01380
2/1/1994,-0.05430
1/1/1994,0.05360
12/1/1993,-0.10050
11/1/1993,-0.10170
10/1/1993,-0.10820
9/1/1993,0.00580
8/1/1993,0.00150
7/1/1993,-0.06390
6/1/1993,-0.07150
5/1/1993,-0.03380
4/1/1993,-0.00490
3/1/1993,-0.00770
2/1/1993,0.01300
1/1/1993,0.02960
12/1/1992,-0.02470
11/1/1992,-0.03980
10/1/1992,-0.04690
9/1/1992,0.01800
8/1/1992,-0.01460
7/1/1992,0.01470
6/1/1992,-0.02190
5/1/1992,0.05500
4/1/1992,0.07050
3/1/1992,0.03040
2/1/1992,-0.01800
1/1/1992,-0.01460
12/1/1991,-0.11040
11/1/1991,-0.07540
10/1/1991,0.05880
9/1/1991,0.00020
8/1/1991,0.03070
7/1/1991,0.06020
6/1/1991,-0.03230
5/1/1991,0.01230
4/1/1991,0.08240
3/1/1991,0.04330
2/1/1991,-0.04230
1/1/1991,-0.21730
12/1/1990,0.00770
11/1/1990,-0.15280
10/1/1990,-0.07570
9/1/1990,0.48040
8/1/1990,0.34410
7/1/1990,0.16150
6/1/1990,-0.05330
5/1/1990,-0.08610
4/1/1990,-0.11470
3/1/1990,-0.06780
2/1/1990,-0.03700
1/1/1990,0.08110
12/1/1989,0.10900
11/1/1989,0.00590
10/1/1989,-0.00100
9/1/1989,0.08750
8/1/1989,0.04420
7/1/1989,-0.05430
6/1/1989,0.07060
5/1/1989,0.02820
4/1/1989,0.05680
3/1/1989,0.13930
2/1/1989,0.09850
1/1/1989,0.02630
12/1/1988,0.14850
11/1/1988,0.13290
10/1/1988,0.04200
9/1/1988,-0.11390
8/1/1988,-0.08020
7/1/1988,0.06490
6/1/1988,-0.13850
5/1/1988,-0.03260
4/1/1988,0.06120
3/1/1988,0.07030
2/1/1988,-0.05200
1/1/1988,0.02480
12/1/1987,-0.08060
11/1/1987,-0.06910
10/1/1987,0.02520
9/1/1987,0.00290
8/1/1987,-0.06540
7/1/1987,0.07730
6/1/1987,0.05920
5/1/1987,0.05300
4/1/1987,0.01390
3/1/1987,0.14370
2/1/1987,-0.11010
