DATE,QDEN628BIS,index
2012-04-01,105.4,^GDAXI
2012-07-01,105.8,^GDAXI
2012-10-01,106.6,^GDAXI
2013-01-01,107.4,^GDAXI
2013-04-01,108.6,^GDAXI
2013-07-01,109.6,^GDAXI
2013-10-01,109.1,^GDAXI
2014-01-01,109.9,^GDAXI
2014-04-01,112.1,^GDAXI
2014-07-01,112.7,^GDAXI
2014-10-01,112.7,^GDAXI
2015-01-01,114.6,^GDAXI
2015-04-01,117.0,^GDAXI
2015-07-01,117.6,^GDAXI
2015-10-01,119.3,^GDAXI
2016-01-01,121.7,^GDAXI
2016-04-01,125.2,^GDAXI
2016-07-01,127.5,^GDAXI
2016-10-01,129.3,^GDAXI
2017-01-01,129.9,^GDAXI
2017-04-01,132.5,^GDAXI
2017-07-01,134.7,^GDAXI
2017-10-01,137.4,^GDAXI
2018-01-01,138.6,^GDAXI
2018-04-01,141.3,^GDAXI
2018-07-01,144.2,^GDAXI
2018-10-01,146.0,^GDAXI
2019-01-01,146.0,^GDAXI
2019-04-01,149.7,^GDAXI
2019-07-01,151.8,^GDAXI
2019-10-01,155.5,^GDAXI
2020-01-01,156.8,^GDAXI
2020-04-01,159.6,^GDAXI
2020-07-01,164.4,^GDAXI
2020-10-01,169.1,^GDAXI
2021-01-01,171.4,^GDAXI
2021-04-01,177.9,^GDAXI
2021-07-01,185.4,^GDAXI
2021-10-01,190.4,^GDAXI
2022-01-01,191.3,^GDAXI
2022-04-01,195.0,^GDAXI
2022-07-01,193.6,^GDAXI
2022-10-01,183.6,^GDAXI
2023-01-01,178.3,^GDAXI
2023-04-01,175.6,^GDAXI
