"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/1987","104.96","113.85","116.38","96.79","","-8.06%"
"11/01/1987","114.16","120.55","120.55","113.30","","-6.91%"
"10/01/1987","122.64","119.80","124.23","118.70","","2.52%"
"09/01/1987","119.62","118.66","120.16","114.49","","0.29%"
"08/01/1987","119.27","132.34","132.34","112.44","","-6.54%"
"07/01/1987","127.62","119.57","130.67","119.57","","7.73%"
"06/01/1987","118.46","112.88","118.81","112.88","","5.92%"
"05/01/1987","111.84","106.78","112.07","106.78","","5.30%"
"04/01/1987","106.21","104.48","106.84","100.26","","1.39%"
"03/01/1987","104.75","90.43","104.75","90.43","","14.37%"
"02/01/1987","91.59","101.76","101.98","90.48","","-11.01%"
