Date,YOY (%),index
1/1/2005,0,^BSESN
1/12/2004,0,^BSESN
1/11/2004,0,^BSESN
1/10/2004,0,^BSESN
1/9/2004,0,^BSESN
1/8/2004,0,^BSESN
1/7/2004,0,^BSESN
1/6/2004,0,^BSESN
1/5/2004,0,^BSESN
1/4/2004,0,^BSESN
1/3/2004,0,^BSESN
1/2/2004,0,^BSESN
1/1/2004,0,^BSESN
1/12/2003,0,^BSESN
1/11/2003,0,^BSESN
1/10/2003,0,^BSESN
1/9/2003,0,^BSESN
1/8/2003,0,^BSESN
1/7/2003,0,^BSESN
1/6/2003,0,^BSESN
1/5/2003,0,^BSESN
1/4/2003,0,^BSESN
1/3/2003,0,^BSESN
1/2/2003,0,^BSESN
1/1/2003,1,^BSESN
1/12/2002,1,^BSESN
1/11/2002,1,^BSESN
1/10/2002,1,^BSESN
1/9/2002,1,^BSESN
1/8/2002,1,^BSESN
1/7/2002,1,^BSESN
1/6/2002,1,^BSESN
1/5/2002,1,^BSESN
1/4/2002,1,^BSESN
1/3/2002,1,^BSESN
1/2/2002,1,^BSESN
1/1/2002,1,^BSESN
1/12/2001,1,^BSESN
1/11/2001,1,^BSESN
1/10/2001,1,^BSESN
1/9/2001,1,^BSESN
1/8/2001,1,^BSESN
1/7/2001,1,^BSESN
1/6/2001,1,^BSESN
1/5/2001,1,^BSESN
1/4/2001,1,^BSESN
1/3/2001,1,^BSESN
1/2/2001,1,^BSESN
1/1/2001,1,^BSESN
1/12/2000,1,^BSESN
1/11/2000,1,^BSESN
1/10/2000,1,^BSESN
1/9/2000,1,^BSESN
1/8/2000,1,^BSESN
1/7/2000,1,^BSESN
1/6/2000,1,^BSESN
1/5/2000,1,^BSESN
1/4/2000,1,^BSESN
1/3/2000,1,^BSESN
1/2/2000,1,^BSESN
1/1/2000,1,^BSESN
1/12/1999,0,^BSESN
1/11/1999,0,^BSESN
1/10/1999,0,^BSESN
1/9/1999,0,^BSESN
1/8/1999,0,^BSESN
1/7/1999,0,^BSESN
1/6/1999,0,^BSESN
1/5/1999,0,^BSESN
1/4/1999,0,^BSESN
1/3/1999,0,^BSESN
1/2/1999,0,^BSESN
1/1/1999,0,^BSESN
1/12/1998,0,^BSESN
1/11/1998,0,^BSESN
1/10/1998,0,^BSESN
1/9/1998,0,^BSESN
1/8/1998,0,^BSESN
1/7/1998,0,^BSESN
1/6/1998,0,^BSESN
1/5/1998,0,^BSESN
1/4/1998,0,^BSESN
1/3/1998,0,^BSESN
1/2/1998,0,^BSESN
1/1/1998,0,^BSESN
1/12/1997,0,^BSESN
1/11/1997,0,^BSESN
1/10/1997,1,^BSESN
1/9/1997,1,^BSESN
1/8/1997,1,^BSESN
1/7/1997,1,^BSESN
1/6/1997,1,^BSESN
1/5/1997,1,^BSESN
1/4/1997,1,^BSESN
1/3/1997,1,^BSESN
1/2/1997,1,^BSESN
1/1/1997,1,^BSESN
