index,crash_label,date,Quarter,000001.SS,^BSESN,^BVSP,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI,volatility_lag1,volatility_lag2,price_change_lag1,price_change_lag2,volume_change_lag1,volume_change_lag2,Crude_Oil_Index_Excess_Return_lag1,Crude_Oil_Index_Excess_Return_lag2,Ted_Rate_lag1,Ted_Rate_lag2,Gold_Price_lag1,Gold_Price_lag2,housing_lag1,housing_lag2,reserve_lag1,reserve_lag2,10YGov_BondYield_lag1,10YGov_BondYield_lag2,current_acct_lag1,current_acct_lag2,FX_Rate_lag1,FX_Rate_lag2,turnover_lag1,turnover_lag2,Population_lag1,Population_lag2,npl_lag1,npl_lag2,Recession_Indicators_lag1,Recession_Indicators_lag2,inflation_lag1,inflation_lag2,Unemployment_lag1,Unemployment_lag2,GDP_lag1,GDP_lag2
^N225,0,2001-09-30,Q3 2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4517691847748868,0.7565914186329141,-0.1896169887978741,-0.6656835669067028,-0.1271466940797387,-0.1271466940797387,-0.3270624499936551,0.0465072160392251,-0.1169647227652036,-0.8452404843159993,0.599723572576699,-0.9104793122674548,-0.89654953791018,-0.8669546688837804,0.203782031839529,0.203782031839529,-0.0044902289499338,-0.2109822743037752,0.031734134310473,0.0323502488727509,0.0605290705579134,1.3652463668776194,-0.1655910964727134,-0.1655910964727134,-0.8984073566769306,-0.8984073566769306,0.4285120163604097,0.4285120163604097,1.1213167399314248,0.5961657387927053,0.031734134310473,0.0323502488727509,0.5622261554652386,0.5622261554652386,-1.8857175064524567,-1.8857175064524567
^N225,0,2001-12-31,Q4 2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3035116322503086,0.4517691847748868,-2.3144285224799024,-0.1896169887978741,-0.1271466940797387,-0.1271466940797387,-0.5314614288227931,-0.3270624499936551,-1.774111875542538,-0.1169647227652036,-0.0935485548988789,0.599723572576699,-0.907227257434987,-0.89654953791018,0.203782031839529,0.203782031839529,0.0753875321242466,-0.0044902289499338,0.0333923353473277,0.031734134310473,-0.661088920633975,0.0605290705579134,-0.1655910964727134,-0.1655910964727134,-0.8984073566769306,-0.8984073566769306,0.4285120163604097,0.4285120163604097,1.1213167399314248,1.1213167399314248,0.0333923353473277,0.031734134310473,0.5622261554652386,0.5622261554652386,-1.8857175064524567,-1.8857175064524567
^N225,0,2002-03-31,Q1 2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3574770521840291,0.3035116322503086,0.5152179595622272,-2.3144285224799024,-0.1271466940797387,-0.1271466940797387,-1.1687257223451686,-0.5314614288227931,-0.3610999745582253,-1.774111875542538,-0.566173530128804,-0.0935485548988789,-0.966326229587374,-0.907227257434987,0.203782031839529,0.203782031839529,0.085776927500076,0.0753875321242466,0.0409398183320526,0.0333923353473277,2.115699659395798,-0.661088920633975,-0.1655910964727134,-0.1655910964727134,-0.8984073566769306,-0.8984073566769306,0.4285120163604097,0.4285120163604097,1.1213167399314248,1.1213167399314248,0.0409398183320526,0.0333923353473277,0.5622261554652386,0.5622261554652386,-1.8857175064524567,-1.8857175064524567
^N225,0,2002-06-30,Q2 2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3113356935950148,0.3574770521840291,0.2294003886691263,0.5152179595622272,-0.1271466940797387,-0.1271466940797387,1.3717361153287908,-1.1687257223451686,-0.8716118953190095,-0.3610999745582253,0.8401893643881425,-0.566173530128804,-0.9735807723560642,-0.966326229587374,0.4926675863849352,0.203782031839529,-0.0281530251587646,0.085776927500076,0.0475051133344927,0.0409398183320526,-0.4212512575764598,2.115699659395798,-0.0101666256695069,-0.1655910964727134,-0.9189268943798404,-0.8984073566769306,0.3106731782698679,0.4285120163604097,-0.4541362634847334,1.1213167399314248,0.0475051133344927,0.0409398183320526,0.6844513183603279,0.5622261554652386,-0.9976671044059228,-1.8857175064524567
^N225,1,2002-09-30,Q3 2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1119811827521227,0.3113356935950148,-0.4875427895836166,0.2294003886691263,7.864931204857603,-0.1271466940797387,0.0985252755728147,1.3717361153287908,0.3068280128074389,-0.8716118953190095,0.3737591045100443,0.8401893643881425,-0.9780118741545728,-0.9735807723560642,0.4926675863849352,0.4926675863849352,-0.104324895614091,-0.0281530251587646,0.0444795354994706,0.0475051133344927,-2.4159673336622203,-0.4212512575764598,-0.0101666256695069,-0.0101666256695069,-0.9189268943798404,-0.9189268943798404,0.3106731782698679,0.3106731782698679,-0.9792872646234528,-0.4541362634847334,0.0444795354994706,0.0475051133344927,0.6844513183603279,0.6844513183603279,-0.9976671044059228,-0.9976671044059228
^N225,0,2002-12-31,Q4 2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1854287275227236,0.1119811827521227,-1.1847079604366386,-0.4875427895836166,-0.1271466917359516,7.864931204857603,0.7950251839618792,0.0985252755728147,-0.7434839770283942,0.3068280128074389,-0.5887664154563305,0.3737591045100443,-0.9917531902177262,-0.9780118741545728,0.4926675863849352,0.4926675863849352,-0.2599079697572362,-0.104324895614091,0.0352726988689137,0.0444795354994706,1.1306898570587267,-2.4159673336622203,-0.0101666256695069,-0.0101666256695069,-0.9189268943798404,-0.9189268943798404,0.3106731782698679,0.3106731782698679,-0.9792872646234528,-0.9792872646234528,0.0352726988689137,0.0444795354994706,0.6844513183603279,0.6844513183603279,-0.9976671044059228,-0.9976671044059228
^N225,0,2003-03-31,Q1 2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0323975919470347,-0.1854287275227236,-0.9157100443580368,-1.1847079604366386,-0.1271466940901336,-0.1271466917359516,0.2028883372554202,0.7950251839618792,0.8111072208124132,-0.7434839770283942,0.0080991573310472,-0.5887664154563305,-1.0706029489683868,-0.9917531902177262,0.4926675863849352,0.4926675863849352,-0.4040002085554906,-0.2599079697572362,0.0354173356571204,0.0352726988689137,-1.0566279330523671,1.1306898570587267,-0.0101666256695069,-0.0101666256695069,-0.9189268943798404,-0.9189268943798404,0.3106731782698679,0.3106731782698679,-0.9792872646234528,-0.9792872646234528,0.0354173356571204,0.0352726988689137,0.6844513183603279,0.6844513183603279,-0.9976671044059228,-0.9976671044059228
^N225,0,2003-06-30,Q2 2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.142876341829149,-0.0323975919470347,-0.7845851742277252,-0.9157100443580368,-0.1271466940790918,-0.1271466940901336,0.3925406136463606,0.2028883372554202,-0.6940836815836614,0.8111072208124132,-0.3799081406389457,0.0080991573310472,-1.0810062332609387,-1.0706029489683868,1.816060831658994,0.4926675863849352,-0.3654476845098194,-0.4040002085554906,0.0398538525092168,0.0354173356571204,0.1383095919573437,-1.0566279330523671,-0.1803272681436457,-0.0101666256695069,-0.9599705765275568,-0.9189268943798404,0.1120575744773747,0.3106731782698679,-0.9792872646234528,-0.9792872646234528,0.0398538525092168,0.0354173356571204,-0.0812232140213937,0.6844513183603279,0.3552205782625295,-0.9976671044059228
^N225,0,2003-09-30,Q3 2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0645861425340104,0.142876341829149,1.044012907867211,-0.7845851742277252,-0.1271466938225753,-0.1271466940790918,0.2782315686183827,0.3925406136463606,0.2669948618271415,-0.6940836815836614,-0.2118105673124109,-0.3799081406389457,-1.0881284074421975,-1.0810062332609387,1.816060831658994,1.816060831658994,0.8024670189376711,-0.3654476845098194,0.0455665242120859,0.0398538525092168,-0.3170968297819255,0.1383095919573437,-0.1803272681436457,-0.1803272681436457,-0.9599705765275568,-0.9599705765275568,0.1120575744773747,0.1120575744773747,-0.9792872646234528,-0.9792872646234528,0.0455665242120859,0.0398538525092168,-0.0812232140213937,-0.0812232140213937,0.3552205782625295,0.3552205782625295
^N225,0,2003-12-31,Q4 2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2155865840893174,0.0645861425340104,0.9202036632046768,1.044012907867211,-0.1271466938108452,-0.1271466938225753,-0.2082200237162687,0.2782315686183827,-0.0677266481678219,0.2669948618271415,0.9506384467916826,-0.2118105673124109,-1.106492807256324,-1.0881284074421975,1.816060831658994,1.816060831658994,0.8818398620475226,0.8024670189376711,0.0441550723919203,0.0455665242120859,-1.9195349408218336,-0.3170968297819255,-0.1803272681436457,-0.1803272681436457,-0.9599705765275568,-0.9599705765275568,0.1120575744773747,0.1120575744773747,-0.9792872646234528,-0.9792872646234528,0.0441550723919203,0.0455665242120859,-0.0812232140213937,-0.0812232140213937,0.3552205782625295,0.3552205782625295
