price,volume,date,volatility,index,crash_label
678.510009765625,329150000,1996-05-24,,^GSPC,0
672.22998046875,341480000,1996-05-28,,^GSPC,0
667.9299926757812,346730000,1996-05-29,,^GSPC,0
671.7000122070312,381960000,1996-05-30,,^GSPC,0
669.1199951171875,351750000,1996-05-31,,^GSPC,0
667.6799926757812,318470000,1996-06-03,,^GSPC,0
672.5599975585938,386040000,1996-06-04,,^GSPC,0
678.4400024414062,380360000,1996-06-05,,^GSPC,0
673.030029296875,466940000,1996-06-06,,^GSPC,0
673.3099975585938,445710000,1996-06-07,,^GSPC,0
672.1599731445312,337480000,1996-06-10,,^GSPC,0
670.969970703125,405390000,1996-06-11,,^GSPC,0
669.0399780273438,397190000,1996-06-12,,^GSPC,0
667.9199829101562,397620000,1996-06-13,,^GSPC,0
665.8499755859375,390630000,1996-06-14,,^GSPC,0
665.1599731445312,298410000,1996-06-17,,^GSPC,0
662.0599975585938,373290000,1996-06-18,,^GSPC,0
661.9600219726562,383610000,1996-06-19,,^GSPC,0
662.0999755859375,441060000,1996-06-20,,^GSPC,0
666.8400268554688,520340000,1996-06-21,,^GSPC,0
668.8499755859375,333840000,1996-06-24,,^GSPC,0
668.47998046875,391900000,1996-06-25,,^GSPC,0
664.3900146484375,386520000,1996-06-26,,^GSPC,0
668.5499877929688,405580000,1996-06-27,,^GSPC,0
670.6300048828125,470460000,1996-06-28,,^GSPC,0
675.8800048828125,345750000,1996-07-01,,^GSPC,0
673.6099853515625,388000000,1996-07-02,,^GSPC,0
672.4000244140625,336260000,1996-07-03,,^GSPC,0
657.4400024414062,181470000,1996-07-05,,^GSPC,0
652.5399780273438,367560000,1996-07-08,,^GSPC,0
654.75,400170000,1996-07-09,,^GSPC,0
656.0599975585938,421350000,1996-07-10,,^GSPC,0
645.6699829101562,520470000,1996-07-11,,^GSPC,0
646.1900024414062,396740000,1996-07-12,,^GSPC,0
629.7999877929688,419020000,1996-07-15,,^GSPC,0
628.3699951171875,682980000,1996-07-16,,^GSPC,0
634.0700073242188,513830000,1996-07-17,,^GSPC,0
643.5599975585938,474460000,1996-07-18,,^GSPC,0
638.72998046875,408070000,1996-07-19,,^GSPC,0
633.77001953125,327300000,1996-07-22,,^GSPC,0
626.8699951171875,421900000,1996-07-23,,^GSPC,0
626.6500244140625,463030000,1996-07-24,,^GSPC,0
631.1699829101562,405390000,1996-07-25,,^GSPC,0
635.9000244140625,349900000,1996-07-26,,^GSPC,0
630.9099731445312,281560000,1996-07-29,,^GSPC,0
635.260009765625,341090000,1996-07-30,,^GSPC,0
639.9500122070312,403560000,1996-07-31,,^GSPC,0
650.02001953125,439110000,1996-08-01,,^GSPC,0
662.489990234375,442080000,1996-08-02,,^GSPC,0
660.22998046875,307240000,1996-08-05,,^GSPC,0
662.3800048828125,347290000,1996-08-06,,^GSPC,0
664.1599731445312,394340000,1996-08-07,,^GSPC,0
662.5900268554688,334570000,1996-08-08,,^GSPC,0
662.0999755859375,327280000,1996-08-09,,^GSPC,0
665.77001953125,312170000,1996-08-12,,^GSPC,0
660.2000122070312,362470000,1996-08-13,,^GSPC,0
662.0499877929688,343460000,1996-08-14,,^GSPC,0
662.280029296875,323950000,1996-08-15,,^GSPC,0
665.2100219726562,337650000,1996-08-16,,^GSPC,0
666.5800170898438,294080000,1996-08-19,,^GSPC,0
665.6900024414062,334960000,1996-08-20,,^GSPC,0
665.0700073242188,348820000,1996-08-21,,^GSPC,0
670.6799926757812,354950000,1996-08-22,,^GSPC,0
667.030029296875,308010000,1996-08-23,,^GSPC,0
663.8800048828125,281430000,1996-08-26,,^GSPC,0
666.4000244140625,310520000,1996-08-27,,^GSPC,0
664.8099975585938,296440000,1996-08-28,,^GSPC,0
657.4000244140625,321120000,1996-08-29,,^GSPC,0
651.989990234375,258380000,1996-08-30,,^GSPC,0
654.719970703125,345740000,1996-09-03,,^GSPC,0
655.6099853515625,351290000,1996-09-04,,^GSPC,0
649.4400024414062,361430000,1996-09-05,,^GSPC,0
655.6799926757812,348710000,1996-09-06,,^GSPC,0
663.760009765625,311530000,1996-09-09,,^GSPC,0
663.8099975585938,372960000,1996-09-10,,^GSPC,0
667.280029296875,376880000,1996-09-11,,^GSPC,0
671.1500244140625,398820000,1996-09-12,,^GSPC,0
680.5399780273438,488360000,1996-09-13,,^GSPC,0
683.97998046875,430080000,1996-09-16,,^GSPC,0
682.9400024414062,449850000,1996-09-17,,^GSPC,0
681.469970703125,396600000,1996-09-18,,^GSPC,0
683.0,398580000,1996-09-19,,^GSPC,0
687.030029296875,519420000,1996-09-20,,^GSPC,0
686.47998046875,297760000,1996-09-23,,^GSPC,0
685.6099853515625,460150000,1996-09-24,,^GSPC,0
685.8300170898438,451710000,1996-09-25,,^GSPC,0
685.8599853515625,500870000,1996-09-26,,^GSPC,0
686.1900024414062,414760000,1996-09-27,,^GSPC,0
687.3300170898438,388570000,1996-09-30,,^GSPC,0
689.0800170898438,421550000,1996-10-01,,^GSPC,0
694.010009765625,440130000,1996-10-02,,^GSPC,0
692.780029296875,386500000,1996-10-03,,^GSPC,0
701.4600219726562,463940000,1996-10-04,,^GSPC,0
