volatility,index,crash_label,price_change,volume_change,date,Quarter,000001.SS,^BSESN,^BVSP,^FCHI,^FTLC,^GDAXI,^GSPC,^HSI,^N225,^SSMI,Crude_Oil_Index_Excess_Return,Ted_Rate,Gold_Price,housing,reserve,10YGov_BondYield,current_acct,FX_Rate,turnover,Population,npl,Recession_Indicators,inflation,Unemployment,GDP
-0.16570447434535493,^HSI,0,0.7818429338678742,-0.1271466938226825,2003-06-30,Q2 2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2782315686183827,0.26699486182714155,-0.21181056731241096,-2.263930148346991,-0.10695762440251717,0.13749084221516025,0.025428559319393362,-0.07949348343805203,-0.13434534471681125,-1.8027231515034574,-0.018566230326886927,-0.9792872646234528,0.025428559319393362,0.6822004268122812,-0.8379148732235094
-0.32116113553831277,^HSI,0,1.3340366943696373,-0.12714669386576757,2003-09-30,Q3 2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.20822002371626877,-0.06772664816782197,0.9506384467916826,-0.7868869132924335,-0.10695762440251717,-0.0886890311366738,0.04152719983915988,-0.26211299095955404,-0.13434534471681125,-1.8027231515034574,-0.018566230326886927,-0.9792872646234528,0.04152719983915988,0.6822004268122812,-0.8379148732235094
0.010804885714791337,^HSI,0,0.8749510112618947,-0.12714669409036952,2003-12-31,Q4 2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.658702185862944,0.6518643078587214,0.12532026871857505,2.947984774077853,-0.10695762440251717,-0.0984147595267076,0.059264414056269844,0.012524094374563961,-0.13434534471681125,-1.8027231515034574,-0.018566230326886927,-0.9792872646234528,0.059264414056269844,0.6822004268122812,-0.8379148732235094
0.39454959747686075,^HSI,0,-0.09585277837857736,-0.12714669402064435,2004-03-31,Q1 2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8528939237953087,-0.7042054853525128,-0.32235396635073416,5.244205262656608,-0.18707996766000112,0.1778623138794021,0.021616689315487825,0.012168817267867338,0.10148422527249268,0.20737487837939714,-0.18102757255065866,-0.9792872646234528,0.021616689315487825,-1.1318452417973055,0.01141634434631743
0.27365834191866895,^HSI,0,-0.4410071527260254,-0.12714669415313695,2004-06-30,Q2 2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20993682846499073,0.16118866164967643,-0.7782132251267165,1.5021424459378059,-0.18707996766000112,0.04343134589586721,0.02036683878062732,-0.07949348343805203,0.10148422527249268,0.20737487837939714,-0.18102757255065866,-0.9792872646234528,0.02036683878062732,-1.1318452417973055,0.01141634434631743
-0.1002860716177425,^HSI,0,0.42238695391890185,-0.1271466941087384,2004-09-30,Q3 2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9063418392577385,0.538574902086185,0.1340501956816963,-0.1264125501625604,-0.18707996766000112,-0.399464618518472,0.11813199712616441,-0.10993006011145735,0.10148422527249268,0.20737487837939714,-0.18102757255065866,-0.9792872646234528,0.11813199712616441,-1.1318452417973055,0.01141634434631743
-0.22897683597959773,^HSI,0,0.567892375592865,-0.12714669394642517,2004-12-31,Q4 2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8106907155952335,0.13723728779856623,0.3416314803332347,2.3981444642451963,-0.18707996766000112,0.058066335956194606,0.2126159337906894,-0.07949348343805203,0.10148422527249268,0.20737487837939714,-0.18102757255065866,-0.9792872646234528,0.2126159337906894,-1.1318452417973055,0.01141634434631743
-0.13909247078431022,^HSI,0,-0.6056559896030177,-0.12714669409117244,2005-03-31,Q1 2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.275388298539095,-0.03419388291159084,-0.49285662149380016,2.6681186692671957,-0.4090102402453667,-0.005653199858809148,0.03397768141548569,-0.04901782984399034,-0.26874581427396943,-0.4883386435170222,-0.2732511409088687,-0.9792872646234528,0.03397768141548569,-1.399344240350392,0.284375282734429
-0.15802712397798918,^HSI,0,0.2717932475661136,-0.1271466941421537,2005-06-30,Q2 2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4005481508772503,1.202130050043713,0.20240434946088548,1.6060415744230336,-0.4090102402453667,0.1006439774041933,0.029613216272433858,-0.1403666605253977,-0.26874581427396943,-0.4883386435170222,-0.2732511409088687,-0.9792872646234528,0.029613216272433858,-1.399344240350392,0.284375282734429
-0.2677411523095188,^HSI,0,0.5837672516671583,-0.12714669391025757,2005-09-30,Q3 2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6303206312135817,-0.14880663519734835,0.5273747484362018,-0.9086205318190779,-0.4090102402453667,0.3304074722712187,0.03523593888485357,-0.14052313439176842,-0.26874581427396943,-0.4883386435170222,-0.2732511409088687,-0.9792872646234528,0.03523593888485357,-1.399344240350392,0.284375282734429
