volatility,index,crash_label,price_change,volume_change,date,Quarter,Regional Feature
-0.6285414810961097,000001.SS,0,0.18770869157890843,-0.12714669407973872,31/3/1998,Q1 1998,1
-0.6285414810961097,000001.SS,0,0.5049132539914986,-0.12714669407973872,30/6/1998,Q2 1998,1
-0.6256802379879451,000001.SS,1,-0.7954464298864576,-0.12714669407973872,30/9/1998,Q3 1998,1
-0.6314027242042743,000001.SS,0,-0.843209740045217,-0.12714669407973872,31/12/1998,Q4 1998,1
-0.6295146535456945,000001.SS,0,-0.08283842346922804,-0.12714669407973872,31/3/1999,Q1 1999,1
-0.6234512386445236,000001.SS,0,3.8275330931292957,-0.12714669407973872,30/6/1999,Q2 1999,1
-0.5740962086631562,000001.SS,0,-0.7811866233793767,-0.12714669407973872,30/9/1999,Q3 1999,1
-0.5451237228059347,000001.SS,0,-1.3010034467453235,-0.12714669407973872,31/12/1999,Q4 1999,1
-0.5506514738813527,000001.SS,0,2.594804352279842,-0.12714669407973872,31/3/2000,Q1 2000,1
-0.5627185228196188,000001.SS,0,0.4496474464132667,-0.12714669407973872,30/6/2000,Q2 2000,1
-0.5485195213167117,000001.SS,0,-0.25014535884760797,-0.12714669407973872,30/9/2000,Q3 2000,1
-0.5312883806883777,000001.SS,0,0.5756162142518616,-0.12714669407973872,31/12/2000,Q4 2000,1
-0.5809480170931373,000001.SS,0,-0.004002244935260147,-0.12714669407973872,31/3/2001,Q1 2001,1
-0.6179864390895238,000001.SS,0,0.2648363502456933,-0.12714669407973872,30/6/2001,Q2 2001,1
-0.6160567937340844,000001.SS,1,-1.9486175823067111,-0.12714669407973872,30/9/2001,Q3 2001,1
-0.5690764471656398,000001.SS,0,-0.7558614560605523,-0.12714669407973872,31/12/2001,Q4 2001,1
-0.5203923999176225,000001.SS,0,-0.3916825311125087,-0.12714669407973872,31/3/2002,Q1 2002,1
-0.5130040743844895,000001.SS,0,0.5306426721531551,-0.12714669407973872,30/6/2002,Q2 2002,1
-0.5861198975464694,000001.SS,0,-0.9288017208281347,-0.12714669407973872,30/9/2002,Q3 2002,1
-0.6236977818451942,000001.SS,0,-1.4024615850154412,-0.12714669407973872,31/12/2002,Q4 2002,1
-0.6141038369229291,000001.SS,0,0.8120052740972556,7.864931204857603,31/3/2003,Q1 2003,1
-0.6178313695532458,000001.SS,0,-0.31065966838381776,-0.1271466900651389,30/6/2003,Q2 2003,1
-0.6300900557500921,000001.SS,0,-0.8657739347294477,-0.1271466853683919,30/9/2003,Q3 2003,1
-0.6391897070197535,000001.SS,0,0.6583909293467248,-0.12714669481532,31/12/2003,Q4 2003,1
-0.6268533273247315,000001.SS,0,1.2539211518430982,-0.12714669365459155,31/3/2004,Q1 2004,1
-0.6031633098216659,000001.SS,0,-1.8817663803786142,-0.12714669441783147,30/6/2004,Q2 2004,1
-0.5958808849147232,000001.SS,0,-0.18440728389555694,-0.1271466940124165,30/9/2004,Q3 2004,1
-0.5871141219074583,000001.SS,0,-0.9810540165806785,-0.12714669409750776,31/12/2004,Q4 2004,1
-0.5768704428756547,000001.SS,0,-0.7554377730960631,-0.12714669413262447,31/3/2005,Q1 2005,1
-0.6042406609524745,000001.SS,0,-0.9086452975389977,-0.12714669391071337,30/6/2005,Q2 2005,1
-0.6068556125614111,000001.SS,0,0.43264853820726284,-0.12714669353592367,30/9/2005,Q3 2005,1
-0.6220838941569341,000001.SS,0,-0.1280559166496815,-0.12714669440700468,31/12/2005,Q4 2005,1
-0.6335015917606218,000001.SS,0,0.8604555197731577,-0.12714669358664532,31/3/2006,Q1 2006,1
-0.5975929952469448,000001.SS,0,2.3394610302529477,-0.12714669320989017,30/6/2006,Q2 2006,1
