drawdown_start,drawdown_end,duration,drawdown,index
2011-05-19,2011-05-31,12,-0.05819395252123422,000001.SS
2008-04-09,2008-04-10,1,-0.05818321386636391,000001.SS
2009-12-15,2009-12-21,6,-0.05772495882103651,000001.SS
2016-05-06,2016-05-10,4,-0.05688805115102545,000001.SS
2007-01-11,2007-01-15,4,-0.05684460696728496,000001.SS
2006-06-06,2006-06-08,2,-0.0566240894485075,000001.SS
2005-09-20,2005-09-26,6,-0.05661059993609669,000001.SS
2014-12-09,2014-12-10,1,-0.05650683937515985,000001.SS
2018-06-13,2018-06-20,7,-0.05639062985186723,000001.SS
2008-08-18,2008-08-19,1,-0.05635759966214065,000001.SS
2016-01-11,2016-01-12,1,-0.056256100067819,000001.SS
2010-05-14,2010-05-18,4,-0.05583867009880682,000001.SS
2004-04-07,2004-04-16,9,-0.05547312296168501,000001.SS
2018-10-11,2018-10-12,1,-0.05511175556925617,000001.SS
2015-06-15,2015-06-17,2,-0.05508954085298404,000001.SS
2010-01-22,2010-01-28,6,-0.05505873881050319,000001.SS
2010-04-22,2010-04-30,8,-0.0549581853518745,000001.SS
2011-11-16,2011-11-24,8,-0.054600430058832236,000001.SS
2018-05-23,2018-05-31,8,-0.05456261931265893,000001.SS
2010-11-12,2010-11-15,3,-0.054366896182655014,000001.SS
2005-01-25,2005-02-02,8,-0.05329623243924266,000001.SS
2001-09-20,2001-10-09,19,-0.05288219612569083,000001.SS
2009-07-29,2009-07-30,1,-0.05263823494568664,000001.SS
2005-06-10,2005-06-16,6,-0.05252790508817029,000001.SS
2002-01-04,2002-01-10,6,-0.05251478141295983,000001.SS
2012-06-19,2012-06-29,10,-0.05224671839810799,000001.SS
2005-03-15,2005-03-21,6,-0.05208001902118608,000001.SS
2008-09-01,2008-09-04,3,-0.051909578083345925,000001.SS
2006-07-12,2006-07-14,2,-0.0517431500314296,000001.SS
2011-10-18,2011-10-24,6,-0.051658471404844225,000001.SS
2008-05-22,2008-05-27,5,-0.051537913055415864,000001.SS
2006-07-27,2006-08-02,6,-0.051362036922603375,000001.SS
2014-12-23,2014-12-26,3,-0.051082394597337426,000001.SS
2014-02-20,2014-02-26,6,-0.05065264333993764,000001.SS
2007-10-25,2007-10-26,1,-0.05046655119747277,000001.SS
2002-11-20,2002-11-22,2,-0.050177278278869086,000001.SS
2008-03-07,2008-03-11,4,-0.04992123150217628,000001.SS
2002-05-29,2002-06-04,6,-0.04930202523998674,000001.SS
2011-09-22,2011-09-27,5,-0.04902867132678449,000001.SS
2009-08-12,2009-08-13,1,-0.04883418013777112,000001.SS
2008-05-06,2008-05-08,2,-0.04871083911593371,000001.SS
2008-08-21,2008-08-25,4,-0.04854839342835649,000001.SS
2004-04-23,2004-04-30,7,-0.0478984811491605,000001.SS
2001-12-11,2001-12-18,7,-0.047859950833755265,000001.SS
2018-03-21,2018-03-27,6,-0.04782696404189696,000001.SS
2009-02-24,2009-02-25,1,-0.04776900155859647,000001.SS
2015-08-31,2015-09-08,8,-0.04738953064713005,000001.SS
2007-04-19,2007-04-20,1,-0.04736999696329838,000001.SS
2007-09-11,2007-09-12,1,-0.04718827857909834,000001.SS
2008-03-21,2008-03-25,4,-0.04684904771627137,000001.SS
2009-03-06,2009-03-10,4,-0.04666098973822265,000001.SS
2002-09-26,2002-10-14,18,-0.0464750133803413,000001.SS
2011-04-22,2011-04-29,7,-0.04637875131436197,000001.SS
2007-11-26,2007-11-29,3,-0.046126799637997214,000001.SS
2019-03-08,2019-03-11,3,-0.04598089974714233,000001.SS
2004-06-23,2004-06-29,6,-0.045464450946294886,000001.SS
2004-07-22,2004-07-28,6,-0.04540799387184368,000001.SS
2018-08-13,2018-08-20,7,-0.045351685559076156,000001.SS
2005-06-01,2005-06-06,5,-0.045324867085946,000001.SS
2009-08-19,2009-08-20,1,-0.044981608715071106,000001.SS
2002-11-08,2002-11-13,5,-0.04488548131976279,000001.SS
2015-07-30,2015-08-04,5,-0.04486600998839303,000001.SS
2008-07-29,2008-08-01,3,-0.04466001089176637,000001.SS
2018-04-12,2018-04-18,6,-0.04442701083769316,000001.SS
2007-08-15,2007-08-20,5,-0.04439756475146187,000001.SS
2001-01-11,2001-01-16,5,-0.04396686774956964,000001.SS
2015-01-08,2015-01-13,5,-0.04391684030150936,000001.SS
2013-10-22,2013-10-28,6,-0.04355365660607029,000001.SS
2011-01-14,2011-01-18,4,-0.043366923678066216,000001.SS
2009-09-22,2009-09-24,2,-0.04289482883801214,000001.SS
2016-01-20,2016-01-22,2,-0.042751144777966266,000001.SS
2001-09-12,2001-09-18,6,-0.04273552086866749,000001.SS
2007-12-12,2007-12-14,2,-0.042592753011018364,000001.SS
2011-08-16,2011-08-23,7,-0.042522976588703895,000001.SS
2004-10-14,2004-10-18,4,-0.042164754417539085,000001.SS
2015-07-14,2015-07-16,2,-0.0419634607155008,000001.SS
2012-03-27,2012-03-30,3,-0.04193937099316677,000001.SS
2006-05-22,2006-05-25,3,-0.04139563887153467,000001.SS
2007-01-25,2007-01-26,1,-0.041214166344904164,000001.SS
2005-04-14,2005-04-19,5,-0.040886905873305714,000001.SS
2001-08-06,2001-08-07,1,-0.040680613833778606,000001.SS
2015-02-04,2015-02-09,5,-0.04064110906514927,000001.SS
2008-08-04,2008-08-06,2,-0.04051106274733047,000001.SS
2011-06-15,2011-06-21,6,-0.040210640399334203,000001.SS
2004-05-13,2004-05-18,5,-0.039941262108214436,000001.SS
2007-08-01,2007-08-02,1,-0.03963881909084169,000001.SS
2008-02-05,2008-02-14,9,-0.03944798489455134,000001.SS
2003-11-05,2003-11-10,5,-0.03923160504603007,000001.SS
2009-04-08,2009-04-09,1,-0.039106015680472235,000001.SS
2013-03-01,2013-03-05,4,-0.03907129746619005,000001.SS
2005-08-18,2005-08-19,1,-0.03902228491426045,000001.SS
2005-10-24,2005-10-27,3,-0.03869444774563718,000001.SS
2018-10-08,2018-10-09,1,-0.03859366890375287,000001.SS
2003-10-23,2003-10-31,8,-0.03849337569801947,000001.SS
2009-04-21,2009-04-23,2,-0.03790087968797943,000001.SS
2011-09-01,2011-09-07,6,-0.03787737541295957,000001.SS
2007-05-15,2007-05-16,1,-0.03775516586810634,000001.SS
2010-09-15,2010-09-21,6,-0.037628264577641325,000001.SS
2006-03-06,2006-03-10,4,-0.037341088778334634,000001.SS
2003-03-04,2003-03-12,8,-0.037108141539371274,000001.SS
2016-01-15,2016-01-18,3,-0.0367735468327749,000001.SS
2018-06-25,2018-06-29,4,-0.03597444978756541,000001.SS
2013-03-07,2013-03-14,7,-0.03580053746182895,000001.SS
2013-07-17,2013-07-22,5,-0.03573340283348837,000001.SS
2009-11-24,2009-11-25,1,-0.03571778585202993,000001.SS
2013-02-21,2013-02-25,4,-0.03569031273436446,000001.SS
2003-06-16,2003-06-24,8,-0.03552018012220767,000001.SS
2005-04-20,2005-04-26,6,-0.035408949821094084,000001.SS
2007-12-17,2007-12-19,2,-0.035215442497887633,000001.SS
2019-03-25,2019-03-27,2,-0.03518004084479979,000001.SS
2016-06-08,2016-06-14,6,-0.03517877888440882,000001.SS
2012-01-11,2012-01-17,6,-0.0349513080138724,000001.SS
2009-09-25,2009-09-30,5,-0.034878275925560746,000001.SS
2008-09-11,2008-09-12,1,-0.03452560540735923,000001.SS
2012-03-14,2012-03-16,2,-0.0343003476040275,000001.SS
2006-08-04,2006-08-08,4,-0.03415084381009882,000001.SS
2011-11-30,2011-12-01,1,-0.033846973486408395,000001.SS
2016-03-09,2016-03-11,2,-0.03376733652428493,000001.SS
2008-03-04,2008-03-06,2,-0.03358624114243586,000001.SS
2014-04-23,2014-04-29,6,-0.033541934414950784,000001.SS
2002-07-22,2002-07-29,7,-0.03352863510148193,000001.SS
2001-12-19,2001-12-21,2,-0.033331212103387776,000001.SS
2014-01-02,2014-01-07,5,-0.03331254255618226,000001.SS
2004-06-17,2004-06-21,4,-0.03328603094326213,000001.SS
2004-11-23,2004-11-30,7,-0.03324430878346577,000001.SS
2013-07-24,2013-07-30,6,-0.03323119228150574,000001.SS
2005-04-29,2005-05-10,11,-0.033026970876575606,000001.SS
2004-12-27,2005-01-05,9,-0.03301014455775502,000001.SS
2010-05-28,2010-06-02,5,-0.032998002761899174,000001.SS
2009-09-18,2009-09-21,3,-0.0329409339070088,000001.SS
2008-10-31,2008-11-05,5,-0.03291561383583006,000001.SS
2019-07-08,2019-07-11,3,-0.03264412855371865,000001.SS
2005-01-12,2005-01-18,6,-0.032468225539548395,000001.SS
2017-04-14,2017-04-20,6,-0.03244675719795368,000001.SS
2010-01-13,2010-01-14,1,-0.03193161909617907,000001.SS
2001-09-06,2001-09-10,4,-0.031922684386030395,000001.SS
2018-12-18,2018-12-24,6,-0.03171682131007154,000001.SS
2012-11-26,2012-11-30,4,-0.03167144317517962,000001.SS
2018-01-29,2018-02-02,4,-0.03154950183684065,000001.SS
2002-09-04,2002-09-10,6,-0.03154374808665876,000001.SS
2015-10-21,2015-10-22,1,-0.031515887709058915,000001.SS
2006-05-16,2006-05-17,1,-0.031512168206546246,000001.SS
2003-05-13,2003-05-14,1,-0.0313470119706911,000001.SS
2013-09-13,2013-09-18,5,-0.03132251656605214,000001.SS
2008-01-30,2008-02-04,5,-0.031050575529509808,000001.SS
2012-09-17,2012-09-19,2,-0.03093767384081068,000001.SS
2001-02-20,2001-02-23,3,-0.030867029957698265,000001.SS
2004-10-28,2004-11-03,6,-0.03075937701007414,000001.SS
2009-01-07,2009-01-09,2,-0.030646373512785,000001.SS
2004-09-08,2004-09-10,2,-0.030539930054439394,000001.SS
2011-07-25,2011-07-26,1,-0.030513831522884012,000001.SS
2002-03-28,2002-04-01,4,-0.03048812729005755,000001.SS
2008-04-25,2008-04-29,4,-0.03044232508540035,000001.SS
2008-08-26,2008-08-28,2,-0.030308300152172087,000001.SS
2016-04-20,2016-04-22,2,-0.03025377423761287,000001.SS
2018-10-18,2018-10-19,1,-0.030242316364720377,000001.SS
2008-10-29,2008-10-30,1,-0.030241115219999008,000001.SS
2010-01-20,2010-01-21,1,-0.030148618378745495,000001.SS
2006-12-08,2006-12-11,3,-0.030144687081549725,000001.SS
2014-06-17,2014-06-20,3,-0.030119506993046233,000001.SS
2002-10-24,2002-10-29,5,-0.030099850864038404,000001.SS
2011-01-20,2011-01-21,1,-0.030043045633331367,000001.SS
2007-03-01,2007-03-02,1,-0.029988330573809337,000001.SS
2019-05-30,2019-06-10,11,-0.029904949321456067,000001.SS
2009-05-20,2009-05-25,5,-0.029825899947256918,000001.SS
2004-07-09,2004-07-13,4,-0.029801061748042947,000001.SS
2010-08-10,2010-08-11,1,-0.029769135930917068,000001.SS
2004-09-21,2004-09-23,2,-0.02973500457586069,000001.SS
2005-05-20,2005-05-24,4,-0.029684253963149342,000001.SS
2013-09-24,2013-09-27,3,-0.02955105188017713,000001.SS
2004-07-30,2004-08-04,5,-0.029546220876141612,000001.SS
2005-03-25,2005-03-31,6,-0.029542996474276353,000001.SS
2019-05-17,2019-05-21,4,-0.029527140873144272,000001.SS
2016-02-29,2016-03-01,1,-0.0294760327056533,000001.SS
2014-03-07,2014-03-11,4,-0.029405075765871244,000001.SS
2011-09-28,2011-10-11,13,-0.029375010078704734,000001.SS
2009-10-27,2009-10-28,1,-0.029160393720179936,000001.SS
2018-11-05,2018-11-12,7,-0.029114993627265322,000001.SS
2013-03-28,2013-03-29,1,-0.029047064196055565,000001.SS
2018-11-22,2018-11-28,6,-0.029040953337754524,000001.SS
2004-12-16,2004-12-22,6,-0.02902258943211146,000001.SS
2003-07-18,2003-07-22,4,-0.028844293332186466,000001.SS
2001-04-25,2001-04-27,2,-0.02884047888051846,000001.SS
2008-06-17,2008-06-18,1,-0.02839324556882409,000001.SS
2014-10-21,2014-10-28,7,-0.028333647249597867,000001.SS
2003-09-25,2003-09-30,5,-0.028260042772340174,000001.SS
2003-06-05,2003-06-10,5,-0.028206280249924855,000001.SS
2007-01-05,2007-01-08,3,-0.028161909930987463,000001.SS
2012-06-04,2012-06-05,1,-0.028106813781690665,000001.SS
2005-05-11,2005-05-13,2,-0.028078633420006976,000001.SS
2009-12-08,2009-12-10,2,-0.028006753394174508,000001.SS
2007-11-30,2007-12-04,4,-0.027653594357889395,000001.SS
2005-07-15,2005-07-19,4,-0.027598301390422526,000001.SS
2002-12-02,2002-12-03,1,-0.02759020306348872,000001.SS
2003-10-13,2003-10-17,4,-0.027508900664381768,000001.SS
2010-01-06,2010-01-08,2,-0.027473007701474914,000001.SS
2012-08-24,2012-08-28,4,-0.027419293479085352,000001.SS
2004-09-29,2004-10-08,9,-0.02738647232279587,000001.SS
2002-03-15,2002-03-18,3,-0.027252130896559878,000001.SS
2012-07-09,2012-07-11,2,-0.027243750150421957,000001.SS
2004-10-11,2004-10-13,2,-0.027236938647912445,000001.SS
2010-11-26,2010-12-01,5,-0.02718951581193584,000001.SS
2012-10-25,2012-10-30,5,-0.027144754365437465,000001.SS
2007-09-25,2007-09-27,2,-0.026998969241199898,000001.SS
2012-03-05,2012-03-08,3,-0.026952604204527573,000001.SS
2011-02-22,2011-02-23,1,-0.026870792327829036,000001.SS
2013-04-22,2013-04-24,2,-0.026806624270845448,000001.SS
2012-05-11,2012-05-17,6,-0.02673803441970445,000001.SS
2015-12-28,2015-12-29,1,-0.026663218730446026,000001.SS
2007-11-15,2007-11-20,5,-0.02662997959513716,000001.SS
2009-08-25,2009-08-26,1,-0.026622504035583975,000001.SS
2005-07-08,2005-07-12,4,-0.026619327854986677,000001.SS
2004-02-10,2004-02-16,6,-0.026605483129482053,000001.SS
2005-04-04,2005-04-06,2,-0.026452133630369086,000001.SS
2005-10-13,2005-10-18,5,-0.026442686771677278,000001.SS
2019-05-08,2019-05-10,2,-0.0260688819521483,000001.SS
2004-09-24,2004-09-28,4,-0.026039333572106162,000001.SS
2008-12-09,2008-12-10,1,-0.026025380685724925,000001.SS
2004-05-24,2004-05-26,2,-0.025984431576484963,000001.SS
2009-06-11,2009-06-15,4,-0.025912339543035356,000001.SS
2018-07-02,2018-07-03,1,-0.025890690397593178,000001.SS
2006-06-09,2006-06-12,3,-0.025851727343386206,000001.SS
2008-06-23,2008-06-24,1,-0.02583634718911,000001.SS
