date,price_change,volume,volatility,index,crash_label,1m_lag,3m_lag,6m_lag,test_data_YOY
2006-08-30,0.0025262493559239,31400.0,221.89176804828708,000001.SS,0,,,,
2006-09-01,-0.0132318807450519,36000.0,223.28928651734563,000001.SS,0,,,,
2006-09-05,0.0167331293571273,40600.0,224.00733249614484,000001.SS,0,,,,
2006-09-06,0.0048332883048991,33600.0,224.70214913760813,000001.SS,0,,,,
2006-09-08,-0.0024740810986116,26600.0,225.25973224063608,000001.SS,0,,,,
2006-09-11,0.0041858516370423,30600.0,225.8904531596209,000001.SS,0,,,,
2006-09-12,0.0124755480904499,37400.0,226.62655995621705,000001.SS,0,,,,
2006-09-13,-0.0038169510430878,43000.0,227.4111872672726,000001.SS,0,,,,
2006-09-14,0.0001793420631923,33800.0,228.11804907120225,000001.SS,0,,,,
2006-09-15,0.0185554687100963,47000.0,229.00559237013272,000001.SS,0,,,,
2006-09-19,0.0082484319056634,43400.0,229.92661509850484,000001.SS,0,,,,
2006-09-20,-0.0016066724567561,38800.0,230.83018208232156,000001.SS,0,,,,
2006-09-21,0.0048763216275355,39600.0,231.84891546576225,000001.SS,0,,,,
2006-09-22,-0.0089264346759423,44800.0,232.67145185334647,000001.SS,0,,,,
2006-09-25,-0.0017358658178199,40200.0,233.4313690650497,000001.SS,0,,,,
2006-09-26,-0.0056486275819437,33200.0,233.99813045333485,000001.SS,0,,,,
2006-09-27,0.007241451520543,29200.0,234.409726865846,000001.SS,0,,,,
2006-09-28,0.0069123496207308,34000.0,234.8364727130707,000001.SS,0,,,,
2006-09-29,0.0089011322561258,41200.0,235.35871380026347,000001.SS,0,,,,
2006-10-10,0.0185104240032483,55200.0,235.95699360534505,000001.SS,0,,,,
2006-10-11,0.0029368899004826,49200.0,236.51451564429652,000001.SS,0,,,,
2006-10-13,-0.0030433974981267,42600.0,237.18600404983476,000001.SS,0,0.0025262493559239,,,
2006-10-16,-0.0074843866942473,46800.0,237.6794792399876,000001.SS,0,-0.0132318807450519,,,
2006-10-17,-0.0041765672688589,39200.0,238.1034626855563,000001.SS,0,0.0167331293571273,,,
2006-10-18,0.0132003199750418,36800.0,238.5683085498215,000001.SS,0,0.0048332883048991,,,
2006-10-20,-0.0010540018799715,41400.0,239.33724572033717,000001.SS,0,-0.0024740810986116,,,
2006-10-23,-0.0172981418675906,44400.0,239.46984672013625,000001.SS,0,0.0041858516370423,,,
2006-10-26,0.0291304573468482,48800.0,240.05754758512867,000001.SS,0,0.0124755480904499,,,
2006-10-27,-0.0019169662502295,73800.0,240.57596637373211,000001.SS,0,-0.0038169510430878,,,
2006-10-31,0.0170531311751158,46600.0,241.42516481563231,000001.SS,0,0.0001793420631923,,,
2006-11-01,0.009640934594572,47800.0,242.45300939788572,000001.SS,0,0.0185554687100963,,,
2006-11-06,0.0164863822861214,49600.0,243.6413879296653,000001.SS,0,0.0082484319056634,,,
2006-11-07,0.0017086415144815,54800.0,244.83811094567423,000001.SS,0,-0.0016066724567561,,,
2006-11-08,-0.0120204560621692,37800.0,245.8874797590065,000001.SS,0,0.0048763216275355,,,
2006-11-09,0.0158907053014245,44000.0,247.14073035642863,000001.SS,0,-0.0089264346759423,,,
2006-11-10,-0.006925986843058,62800.0,248.22170664503776,000001.SS,0,-0.0017358658178199,,,
2006-11-13,-0.0103974630128025,50000.0,249.23834823928172,000001.SS,0,-0.0056486275819437,,,
2006-11-14,0.0131314832240554,43200.0,250.4418233774788,000001.SS,0,0.007241451520543,,,
2006-11-16,0.0282315866860385,64000.0,252.08248808215112,000001.SS,0,0.0069123496207308,,,
2006-11-21,0.0333498669714864,53800.0,256.488367124267,000001.SS,0,0.0089011322561258,,,
2006-11-22,0.0018664448867953,64800.0,258.90344655223663,000001.SS,0,0.0185104240032483,,,
2006-11-24,0.0046327225497195,61200.0,261.3756148142486,000001.SS,0,0.0029368899004826,,,
2006-11-29,0.0075390980840779,56000.0,268.1020069449895,000001.SS,0,-0.0030433974981267,,,
2006-11-30,0.0220038920518397,72800.0,270.68373269388115,000001.SS,0,-0.0074843866942473,,,
2006-12-01,0.0013147354573161,76200.0,273.17895681631484,000001.SS,0,-0.0041765672688589,,,
2006-12-04,0.0283527524354549,87200.0,276.25689051607435,000001.SS,0,0.0132003199750418,,,
2006-12-05,0.0053833756300745,88200.0,279.38471829883866,000001.SS,0,-0.0010540018799715,,,
2006-12-06,-0.0076754355170738,104400.0,282.25361632640085,000001.SS,0,-0.0172981418675906,,,
2006-12-07,6.769721909338777e-05,99200.0,284.96777444210505,000001.SS,0,0.0291304573468482,,,
2006-12-08,-0.0292625758881998,80800.0,286.99102305685784,000001.SS,0,-0.0019169662502295,,,
2006-12-11,0.0414867120336781,62600.0,289.8175752863046,000001.SS,0,0.0170531311751158,,,
2006-12-12,0.0176358187912368,70200.0,293.0304016163122,000001.SS,0,0.009640934594572,,,
2006-12-13,0.0020298557910083,57400.0,296.21164656473667,000001.SS,0,0.0164863822861214,,,
2006-12-14,0.0115383618716999,58400.0,299.4962355163516,000001.SS,0,0.0017086415144815,,,
2006-12-15,0.0110256280831557,60600.0,303.021389274496,000001.SS,0,-0.0120204560621692,,,
2006-12-18,0.0257381231353863,78200.0,307.0423879347691,000001.SS,0,0.0158907053014245,,,
2006-12-20,0.0038186972313902,78200.0,315.57273246552813,000001.SS,0,-0.006925986843058,,,
2006-12-21,-0.0127536765038709,83200.0,319.4522777696036,000001.SS,0,-0.0103974630128025,,,
2006-12-22,0.0003115662780668,70400.0,323.2308477965664,000001.SS,0,0.0131314832240554,,,
