date,price_change,volume,volatility
2004-10-12,-0.010853604260555039,1427828000.0,114.48319961793774
2004-10-13,-0.0028184982317808194,1460645500.0,113.92837255813198
2004-10-14,-0.0011650777965185322,1569942200.0,113.49973374283002
2004-10-15,-0.0014472085308201432,1593281400.0,112.43194838569036
2004-10-18,0.0008436416334558494,1035468400.0,111.63094809941094
2004-10-19,0.006181666245746786,1758184400.0,111.55706506715214
2004-10-20,-0.008334828007573014,1870343300.0,111.38564877601432
2004-10-21,0.00021661901506675463,1569810700.0,111.26686344767414
2004-10-25,-0.011434964656342528,1962821600.0,110.74113735006638
2004-10-26,0.004118609360139303,1552012300.0,110.72058388132363
2004-10-27,0.010188985536396133,1593025300.0,111.06443456784245
2004-10-28,0.0027428579865214076,1993843400.0,111.62493581388195
2004-10-29,-0.00400611918614735,1613208500.0,111.9022049665836
2004-11-01,0.010726094736399627,944047300.0,112.34467419388781
2004-11-02,0.00415088181687695,1255396800.0,112.97912218748182
2004-11-04,0.007478822107366501,1541359200.0,113.94967392105026
2004-11-05,0.0024321638802597967,1633215400.0,114.62419665438969
2004-11-08,-0.004894659687589842,1539529600.0,115.24631381650646
2004-11-09,0.00023323954405141123,1332836300.0,115.7748057180403
2004-11-10,0.0035610157475016724,1913303600.0,116.11497255545994
2004-11-11,0.008955518501161608,1696517100.0,117.24565263849902
2004-11-12,0.0035587934324643467,1828726000.0,118.91436316061029
2004-11-15,0.001919146310919384,1208942900.0,120.55210376962474
2004-11-16,-0.00680814362550064,1958919800.0,121.80955906087844
2004-11-17,0.0053454638022005785,2146880400.0,123.4903969113264
2004-11-18,0.00195998718387691,2004894500.0,125.07382412820658
2004-11-19,-0.009260608454979447,1708689500.0,126.05841876935833
2004-11-22,-0.005818288558148699,1423778400.0,126.68086720720581
2004-11-24,-0.002894550089757031,1525369600.0,127.47116152354278
2004-11-26,0.004704029277424748,923179300.0,128.39788083175497
2004-11-29,0.001729312228440083,1394255600.0,129.46717795439085
2004-11-30,-0.009810857571094123,1592258700.0,129.81867961158085
2004-12-01,0.006910188520657057,1510596600.0,130.21666321229299
2004-12-02,0.003273011246645696,1784075300.0,130.7732599464161
2004-12-03,-0.0006946230074679205,1906257400.0,131.0150855882636
2004-12-06,-0.005286568413933823,1166017600.0,130.6232140675635
2004-12-07,0.0012493416763386112,1750628700.0,130.0988191734426
2004-12-08,-0.005244632128155291,1360455000.0,128.78349754265466
2004-12-09,-0.003295138145324228,1477982000.0,128.90152710477895
2004-12-10,0.001194458188912284,1446571500.0,129.28810840983493
2004-12-13,0.009117981399126451,1498436600.0,129.9595638019694
2004-12-14,-0.0029555819492615987,2034094200.0,130.60429375389572
2004-12-15,0.0011434722724517066,1988509100.0,131.40007406305457
2004-12-16,0.0014804787679971732,1839717700.0,132.12069192392124
2004-12-17,-0.008109560111737912,1849535600.0,132.563825746162
2004-12-20,0.007302907169796313,1248274800.0,133.2445435701692
2004-12-21,0.0004015772874244039,1222635500.0,133.93706803707263
2004-12-22,0.009380921686826582,1304973800.0,134.63910240438128
2004-12-29,0.008875100098475919,856204400.0,135.39997720781577
2004-12-30,6.230403355300673e-05,576056200.0,136.11173665849444
2005-01-04,0.005580776705618629,1613071800.0,137.13665188750457
2005-01-05,-0.008458840519909194,1802853600.0,137.86359294442326
2005-01-06,0.0038076996852891565,1407245400.0,138.6755329406858
2005-01-07,0.0061771229349789625,1635917100.0,139.95285464994558
2005-01-11,-0.007292783756322252,1684169600.0,140.77049315451242
2005-01-12,-0.0072841422444986925,1659665900.0,141.48819199446893
2005-01-13,0.0034910332574480396,1779231400.0,142.17352699495333
2005-01-14,0.0042705665966908946,1913003500.0,143.11362442080204
2005-01-18,0.000643067080536186,1508888200.0,144.27620803180605
2005-01-19,-0.0011609066874561647,1705867700.0,145.2155860167302
2005-01-20,-0.0036319865324642153,1394567200.0,145.99706031738796
2005-01-21,0.000520746563428709,1631563100.0,146.88163237892422
2005-01-24,0.0019153906036681878,1311479400.0,147.82021186253905
2005-01-25,0.006379261363636424,1670909600.0,149.07254914582347
2005-01-26,0.0008052325294181095,1818356600.0,150.09560541320528
2005-01-27,0.001299705919121763,1770580400.0,151.21179116176668
2005-01-28,-0.0042444673982668935,1299761000.0,151.99133752508362
2005-01-31,0.004034928155121742,1316421800.0,152.7975918124753
2005-02-01,0.011108215237016106,1771418700.0,154.1218230800444
2005-02-02,0.0020382372512142144,1738923800.0,155.81065268813305
2005-02-03,-0.0016070115762439885,1934906200.0,157.30664740547164
2005-02-04,0.006764092788462683,1813268500.0,158.96240412505
2005-02-16,0.022604511851158637,1597248900.0,162.10418884153623
2005-02-17,0.000831098485895243,1572721200.0,165.0907501194072
2005-02-18,-3.948808381903923e-05,1807130200.0,168.02692124604627
2005-02-22,-0.004805088197076701,1788686900.0,170.53637835478148
2005-02-23,-0.008821932326345983,1878485600.0,172.4499116632401
2005-02-24,-0.0032875418149242996,1704490900.0,174.1150710355101
2005-02-25,0.006978883439536343,1561726800.0,176.15640910953718
2005-02-28,-0.007649557837651644,1811915100.0,177.5728705008242
2005-03-01,0.00644057562644651,1797019100.0,179.22707672364228
2005-03-02,-0.0015398850739926084,1717154500.0,180.8316814005989
2005-03-03,0.0044063453093683425,1551443200.0,182.60029290759826
2005-03-04,0.004287309730670152,1488538400.0,184.4554156400748
2005-03-07,-0.0018068045445845948,1149090500.0,186.26110365879796
2005-03-08,-0.0032424197039037095,1480920300.0,188.0333697438787
2005-03-09,-0.002953522316535895,1860240700.0,189.67629150169185
