price,volume,date,price_change,volume_change,volatility
7441.7998046875,0,1999-01-04,,0.0,
7545.7998046875,0,1999-01-05,0.013975113914578952,0.0,
7668.7998046875,0,1999-01-06,0.01630045895513832,0.0,
7549.7001953125,0,1999-01-07,-0.015530410547710649,0.0,
7633.7001953125,0,1999-01-08,0.011126269630170826,0.0,
7464.39990234375,0,1999-01-11,-0.02217801179468759,0.0,
7427.2001953125,0,1999-01-12,-0.0049836165690385625,0.0,
7125.0,0,1999-01-13,-0.040688306140344355,0.0,
7088.0,0,1999-01-14,-0.005192982456140305,0.0,
7218.10009765625,0,1999-01-15,0.018354979917642567,0.0,
7248.10009765625,0,1999-01-18,0.004156218339191664,0.0,
7207.7001953125,0,1999-01-19,-0.005573860984179002,0.0,
7300.2001953125,0,1999-01-20,0.012833497161848895,0.0,
7125.39990234375,0,1999-01-21,-0.023944588955380985,0.0,
7036.39990234375,0,1999-01-22,-0.012490527018802933,0.0,
7076.2001953125,0,1999-01-25,0.005656343232494976,0.0,
7074.60009765625,0,1999-01-26,-0.00022612385349274344,0.0,
7030.2001953125,0,1999-01-27,-0.006275959309482326,0.0,
7137.7998046875,0,1999-01-28,0.015305340727955974,0.0,
7201.2001953125,0,1999-01-29,0.008882343629666334,0.0,
7291.2001953125,0,1999-02-01,0.012497916674859777,0.0,
7225.10009765625,0,1999-02-02,-0.009065736214285525,0.0,
7193.0,0,1999-02-03,-0.004442858537927141,0.0,
7137.2001953125,0,1999-02-04,-0.00775751490164045,0.0,
7137.0,0,1999-02-05,-2.8049558233100846e-05,0.0,
7055.89990234375,0,1999-02-08,-0.011363331603790106,0.0,
6943.0,0,1999-02-09,-0.01600078004313077,0.0,
6891.2001953125,0,1999-02-10,-0.007460723705530747,0.0,
6898.89990234375,0,1999-02-11,0.0011173245317248615,0.0,
6963.10009765625,0,1999-02-12,0.009305859806820749,0.0,
6988.5,0,1999-02-15,0.0036477864726229825,0.0,
7015.2001953125,0,1999-02-16,0.0038205903001360397,0.0,
7045.89990234375,0,1999-02-17,0.004376169770858862,0.0,
6981.60009765625,0,1999-02-18,-0.009125847028583434,0.0,
6942.7001953125,0,1999-02-19,-0.005571774636133786,0.0,
7076.7001953125,0,1999-02-22,0.019300847830138634,0.0,
7145.7001953125,0,1999-02-23,0.009750307077542208,0.0,
7233.7001953125,0,1999-02-24,0.012315098254153778,0.0,
7101.7998046875,0,1999-02-25,-0.018234152240712564,0.0,
7063.7998046875,0,1999-02-26,-0.005350756293484693,0.0,
6995.0,0,1999-03-01,-0.009739772727115681,0.0,
6976.5,0,1999-03-02,-0.002644746247319474,0.0,
6986.10009765625,0,1999-03-03,0.0013760621595713118,0.0,
7106.7998046875,0,1999-03-04,0.01727712247806812,0.0,
7213.2998046875,0,1999-03-05,0.014985647960669368,0.0,
7185.89990234375,0,1999-03-08,-0.003798525374745232,0.0,
7267.2001953125,0,1999-03-09,0.011313863826885928,0.0,
7209.39990234375,0,1999-03-10,-0.007953584794049395,0.0,
7322.60009765625,0,1999-03-11,0.015701750054910812,0.0,
7250.7001953125,0,1999-03-12,-0.009818903310965021,0.0,
7240.89990234375,0,1999-03-15,-0.0013516340084073208,0.0,
7218.89990234375,0,1999-03-16,-0.0030382963853538003,0.0,
7231.7998046875,0,1999-03-17,0.0017869623513635524,0.0,
7195.7001953125,0,1999-03-18,-0.004991787708448547,0.0,
7208.2998046875,0,1999-03-19,0.0017509914300219975,0.0,
7153.60009765625,0,1999-03-22,-0.007588433959930363,0.0,
7013.60009765625,0,1999-03-23,-0.01957056560176862,0.0,
6949.0,0,1999-03-24,-0.00921069019572951,0.0,
7082.2001953125,0,1999-03-25,0.019168253750539543,0.0,
7008.2001953125,0,1999-03-26,-0.010448730332274225,0.0,
7086.2998046875,0,1999-03-29,0.011144032304790219,0.0,
7024.10009765625,0,1999-03-30,-0.00877745914590089,0.0,
7130.2001953125,0,1999-03-31,0.015105151717819787,0.0,
7132.39990234375,0,1999-04-01,0.0003085056479474879,0.0,
7170.0,0,1999-04-06,0.0052717315589516645,0.0,
7216.7998046875,0,1999-04-07,0.0065271694124826585,0.0,
7332.89990234375,0,1999-04-08,0.016087476554474955,0.0,
7386.89990234375,0,1999-04-09,0.007364071611388079,0.0,
7352.89990234375,0,1999-04-12,-0.004602742753995082,0.0,
7366.2001953125,0,1999-04-13,0.0018088499973338834,0.0,
7378.2001953125,0,1999-04-14,0.0016290624313517466,0.0,
7234.10009765625,0,1999-04-15,-0.019530521514962373,0.0,
7164.7998046875,0,1999-04-16,-0.009579670177801702,0.0,
7248.7998046875,0,1999-04-19,0.011723984240989305,0.0,
7129.39990234375,0,1999-04-20,-0.016471678837997272,0.0,
7124.7001953125,0,1999-04-21,-0.0006592009279356992,0.0,
7179.7998046875,0,1999-04-22,0.007733603922204457,0.0,
7145.7998046875,0,1999-04-23,-0.0047355080816881,0.0,
7254.7001953125,0,1999-04-26,0.015239776316370302,0.0,
7377.2998046875,0,1999-04-27,0.016899335062007914,0.0,
7360.89990234375,0,1999-04-28,-0.0022230223493601153,0.0,
7304.60009765625,0,1999-04-29,-0.007648494808301098,0.0,
7335.5,0,1999-04-30,0.004230197674156555,0.0,
7443.10009765625,0,1999-05-03,0.014668406742042173,0.0,
7355.89990234375,0,1999-05-04,-0.011715574715965293,0.0,
7283.7998046875,0,1999-05-05,-0.009801669219734355,0.0,
7234.89990234375,0,1999-05-06,-0.006713515425325167,0.0,
7215.39990234375,0,1999-05-07,-0.0026952688030532634,0.0,
7225.60009765625,0,1999-05-10,0.0014136701292448706,0.0,
7202.2001953125,0,1999-05-11,-0.003238471826214173,0.0,
7161.5,0,1999-05-12,-0.005651078032930745,0.0,
7071.10009765625,0,1999-05-14,-0.012623040193220691,0.0,
6910.89990234375,0,1999-05-17,-0.022655625447248195,0.0,
7007.7998046875,0,1999-05-18,0.014021314693168696,0.0,
7034.89990234375,0,1999-05-19,0.0038671335385640493,0.0,
7109.10009765625,0,1999-05-20,0.010547441519072498,0.0,
7055.2001953125,0,1999-05-21,-0.007581817895843113,0.0,
6887.60009765625,0,1999-05-25,-0.023755541021728055,0.0,
6895.10009765625,0,1999-05-26,0.001088913394166502,0.0,
6750.60009765625,0,1999-05-27,-0.020956911133040323,0.0,
6787.89990234375,0,1999-05-28,0.005525405763622482,0.0,
6911.60009765625,0,1999-05-31,0.018223632801330547,0.0,
6877.89990234375,0,1999-06-01,-0.004875889061337291,0.0,
6970.7998046875,0,1999-06-02,0.01350701575521529,0.0,
7060.2001953125,0,1999-06-03,0.012824983234331677,0.0,
7156.39990234375,0,1999-06-04,0.013625634453697133,0.0,
7215.10009765625,0,1999-06-07,0.008202475562227196,0.0,
7194.7998046875,0,1999-06-08,-0.002813584384691259,0.0,
7190.60009765625,0,1999-06-09,-0.0005837142304521148,0.0,
7026.39990234375,0,1999-06-10,-0.022835395249698354,0.0,
7054.60009765625,0,1999-06-11,0.004013462897705766,0.0,
7030.7998046875,0,1999-06-14,-0.003373726737062932,0.0,
7060.10009765625,0,1999-06-15,0.004167419608394285,0.0,
