price,volume,date,price_change,volume_change,volatility
1228.0999755859375,877000000,1999-01-04,,,
1244.780029296875,775000000,1999-01-05,0.013581999871776995,-0.11630558722919038,
1272.3399658203125,986900000,1999-01-06,0.022140407039631604,0.2734193548387096,
1269.72998046875,863000000,1999-01-07,-0.002051327020824778,-0.1255446347147634,
1275.0899658203125,937800000,1999-01-08,0.004221358425815724,0.08667439165701052,
1263.8800048828125,818000000,1999-01-11,-0.008791505884283457,-0.12774578801450198,
1239.510009765625,800200000,1999-01-12,-0.01928188991283797,-0.02176039119804396,
1234.4000244140625,931500000,1999-01-13,-0.004122584982213073,0.16408397900524863,
1212.18994140625,797200000,1999-01-14,-0.01799261387600426,-0.14417606011808914,
1243.260009765625,798100000,1999-01-15,0.025631353056214,0.001128951329653738,
1252.0,785500000,1999-01-19,0.007029897339031033,-0.015787495301340715,
1256.6199951171875,905700000,1999-01-20,0.0036900919466353876,0.15302355187778494,
1235.1600341796875,871800000,1999-01-21,-0.017077526237753937,-0.037429612454455086,
1225.18994140625,785900000,1999-01-22,-0.008071903638024458,-0.09853177334250973,
1233.97998046875,723900000,1999-01-25,0.007174429666318538,-0.07889044407685453,
1252.31005859375,896400000,1999-01-26,0.014854437199246062,0.2382925818483217,
1243.1700439453125,893800000,1999-01-27,-0.007298523704825199,-0.0029004908522980433,
1265.3699951171875,848800000,1999-01-28,0.017857533874787945,-0.05034683374356674,
1279.6400146484375,917000000,1999-01-29,0.011277349381062507,0.08034872761545708,
1273.0,799400000,1999-02-01,-0.005188970782741387,-0.12824427480916034,
1261.989990234375,845500000,1999-02-02,-0.008648868629713258,0.05766825118839125,
1272.0699462890625,876500000,1999-02-03,0.00798735024262398,0.03666469544648132,
1248.489990234375,854400000,1999-02-04,-0.018536681983153502,-0.02521391899600689,
1239.4000244140625,872000000,1999-02-05,-0.007280767880730954,0.020599250936329527,
1243.77001953125,705400000,1999-02-08,0.003525895619740149,-0.19105504587155964,
1216.1400146484375,736000000,1999-02-09,-0.02221472173225858,0.04337964275588324,
1223.550048828125,721400000,1999-02-10,0.006093076529374519,-0.019836956521739113,
1254.0400390625,815800000,1999-02-11,0.024919283247609947,0.13085666759079562,
1230.1300048828125,691500000,1999-02-12,-0.019066404129777448,-0.15236577592547196,
1241.8699951171875,653760000,1999-02-16,0.009543698786124155,-0.05457700650759223,
1224.030029296875,735100000,1999-02-17,-0.014365405308491286,0.12441874694077337,
1237.280029296875,742400000,1999-02-18,0.010824897823471957,0.009930621684124619,
1239.219970703125,700000000,1999-02-19,0.0015679081212944812,-0.05711206896551724,
1272.1400146484375,718500000,1999-02-22,0.026565133490088932,0.026428571428571468,
1271.1800537109375,781100000,1999-02-23,-0.0007546032091171329,0.08712595685455815,
1253.4100341796875,782000000,1999-02-24,-0.013979152268299266,0.0011522212264754028,
1245.02001953125,740500000,1999-02-25,-0.00669375098303604,-0.05306905370843995,
1238.3299560546875,784600000,1999-02-26,-0.005373458556177546,0.05955435516542873,
1236.1600341796875,699500000,1999-03-01,-0.0017522970064565158,-0.1084629110374713,
1225.5,753600000,1999-03-02,-0.008623506572724149,0.07734095782701922,
1227.699951171875,751700000,1999-03-03,0.0017951457950835525,-0.0025212314225052657,
1246.6400146484375,770900000,1999-03-04,0.01542727395116672,0.025542104562990664,
1275.469970703125,834900000,1999-03-05,0.023126127603739555,0.08301984693215725,
1282.72998046875,714600000,1999-03-08,0.005692027199686089,-0.14408911246855916,
1279.8399658203125,803700000,1999-03-09,-0.0022530187119984557,0.12468513853904284,
1286.8399658203125,841900000,1999-03-10,0.00546943382527787,0.047530172950105865,
1297.6800537109375,904800000,1999-03-11,0.008423804185872408,0.0747119610405036,
1294.5899658203125,825800000,1999-03-12,-0.002381240184580413,-0.0873121131741822,
1307.260009765625,727200000,1999-03-15,0.009786916537147805,-0.11939937030758052,
1306.3800048828125,751900000,1999-03-16,-0.0006731674465971782,0.033965896589658984,
1297.8199462890625,752300000,1999-03-17,-0.006552502764704982,0.0005319856363878994,
1316.550048828125,831000000,1999-03-18,0.014431973088885552,0.10461252160042545,
1299.2900390625,914700000,1999-03-19,-0.013110029338412432,0.10072202166064992,
1297.010009765625,658200000,1999-03-22,-0.0017548270427133472,-0.2804198097736963,
1262.1400146484375,811300000,1999-03-23,-0.026884908254091733,0.23260407171072628,
1268.5899658203125,761900000,1999-03-24,0.005110329358879895,-0.060889929742388715,
1289.989990234375,784200000,1999-03-25,0.01686914211104029,0.029268932930830882,
1282.800048828125,707200000,1999-03-26,-0.005573641238056148,-0.09818923743942876,
1310.1700439453125,747900000,1999-03-29,0.02133613507591514,0.05755090497737547,
1300.75,729000000,1999-03-30,-0.0071899399538596365,-0.02527075812274371,
1286.3699951171875,924300000,1999-03-31,-0.011055164238179871,0.26790123456790127,
1293.719970703125,703000000,1999-04-01,0.005713733695466017,-0.23942442929784702,
1321.1199951171875,695800000,1999-04-05,0.02117925442487434,-0.010241820768136511,
1317.8900146484375,787500000,1999-04-06,-0.0024448804655806677,0.13179074446680072,
1326.8900146484375,816400000,1999-04-07,0.006829097952002261,0.036698412698412675,
1343.97998046875,850500000,1999-04-08,0.012879715448639084,0.04176874081332671,
1348.3499755859375,716100000,1999-04-09,0.0032515328953510725,-0.15802469135802466,
1358.6300048828125,810800000,1999-04-12,0.007624155065829807,0.13224409998603548,
1349.8199462890625,810900000,1999-04-13,-0.0064845164335303185,0.00012333497779959401,
1328.43994140625,952000000,1999-04-14,-0.015839153171199327,0.17400419287211744,
