price,volume,date,price_change,volume_change,volatility
2770.800048828125,0,1999-01-04,,0.0,
2803.89990234375,0,1999-01-05,0.011945955295339372,0.0,
2886.60009765625,0,1999-01-06,0.029494703160898084,0.0,
2867.800048828125,0,1999-01-07,-0.006512869185928971,0.0,
2888.699951171875,0,1999-01-08,0.007287782267906051,0.0,
2864.300048828125,0,1999-01-11,-0.008446672467263938,0.0,
2843.300048828125,0,1999-01-12,-0.007331634131204856,0.0,
2761.10009765625,0,1999-01-13,-0.02891005161616833,0.0,
2749.0,0,1999-01-14,-0.004382346611237042,0.0,
2795.89990234375,0,1999-01-15,0.01706071383912322,0.0,
2873.10009765625,0,1999-01-18,0.02761193104509374,0.0,
2832.10009765625,0,1999-01-19,-0.014270299887374605,0.0,
2864.199951171875,0,1999-01-20,0.011334293424935638,0.0,
2830.0,0,1999-01-21,-0.011940490103661272,0.0,
2761.60009765625,0,1999-01-22,-0.024169576799911607,0.0,
2770.0,0,1999-01-25,0.003041679478096304,0.0,
2773.800048828125,0,1999-01-26,0.0013718587827165063,0.0,
2774.10009765625,0,1999-01-27,0.00010817247921379725,0.0,
2777.300048828125,0,1999-01-28,0.0011535096280694823,0.0,
2792.39990234375,0,1999-01-29,0.005436882313812674,0.0,
2847.39990234375,0,1999-02-01,0.019696319267823004,0.0,
2855.699951171875,0,1999-02-02,0.002914957193505874,0.0,
2826.39990234375,0,1999-02-03,-0.010260198665514975,0.0,
2827.89990234375,0,1999-02-04,0.0005307104627183534,0.0,
2792.199951171875,0,1999-02-05,-0.012624191946216667,0.0,
2783.5,0,1999-02-08,-0.003115805215963774,0.0,
2759.10009765625,0,1999-02-09,-0.008765907075175106,0.0,
2753.5,0,1999-02-10,-0.0020296826711749816,0.0,
2803.39990234375,0,1999-02-11,0.0181223542196296,0.0,
2828.5,0,1999-02-12,0.008953448858746604,0.0,
2856.60009765625,0,1999-02-15,0.009934628833745851,0.0,
2892.89990234375,0,1999-02-16,0.012707345601956188,0.0,
2878.5,0,1999-02-17,-0.004977670444830662,0.0,
2875.39990234375,0,1999-02-18,-0.001076983726333136,0.0,
2859.5,0,1999-02-19,-0.0055296316629871445,0.0,
2875.699951171875,0,1999-02-22,0.005665309030206345,0.0,
2910.39990234375,0,1999-02-23,0.012066610481296758,0.0,
2974.39990234375,0,1999-02-24,0.021990105190857312,0.0,
2934.300048828125,0,1999-02-25,-0.013481661791350685,0.0,
2923.60009765625,0,1999-02-26,-0.003646508875650989,0.0,
2878.60009765625,0,1999-03-01,-0.015391981973210012,0.0,
2880.39990234375,0,1999-03-02,0.0006252360961722658,0.0,
2876.0,0,1999-03-03,-0.0015275317639643626,0.0,
2899.699951171875,0,1999-03-04,0.00824059498326668,0.0,
2944.300048828125,0,1999-03-05,0.015380935409619045,0.0,
2946.60009765625,0,1999-03-08,0.0007811869680334205,0.0,
2959.5,0,1999-03-09,0.004377893815319833,0.0,
2963.89990234375,0,1999-03-10,0.001486704627048585,0.0,
3008.89990234375,0,1999-03-11,0.015182698971856423,0.0,
2993.199951171875,0,1999-03-12,-0.005217837642138123,0.0,
2959.39990234375,0,1999-03-15,-0.011292278958808577,0.0,
2957.5,0,1999-03-16,-0.0006419890540123596,0.0,
2929.89990234375,0,1999-03-17,-0.009332239275147924,0.0,
2917.5,0,1999-03-18,-0.004232193165995435,0.0,
2940.39990234375,0,1999-03-19,0.007849152474292964,0.0,
2935.10009765625,0,1999-03-22,-0.0018024094897008958,0.0,
2897.10009765625,0,1999-03-23,-0.012946747550567017,0.0,
2876.10009765625,0,1999-03-24,-0.007248627693944409,0.0,
2905.699951171875,0,1999-03-25,0.01029166319341468,0.0,
2926.699951171875,0,1999-03-26,0.007227174296345007,0.0,
2973.699951171875,0,1999-03-29,0.016059042875639085,0.0,
2978.699951171875,0,1999-03-30,0.0016814070289874472,0.0,
2991.199951171875,0,1999-03-31,0.004196461612416602,0.0,
3003.199951171875,0,1999-04-01,0.004011767917854847,0.0,
3003.199951171875,0,1999-04-02,0.0,0.0,
3003.199951171875,0,1999-04-05,0.0,0.0,
3037.89990234375,0,1999-04-06,0.011554325964321821,0.0,
3064.699951171875,0,1999-04-07,0.008821899894545071,0.0,
3051.699951171875,0,1999-04-08,-0.004241850819695747,0.0,
3069.89990234375,0,1999-04-09,0.005963873075033543,0.0,
3056.800048828125,0,1999-04-12,-0.0042671923946522305,0.0,
3088.60009765625,0,1999-04-13,0.010403051661922014,0.0,
3084.39990234375,0,1999-04-14,-0.0013599026030230998,0.0,
3079.199951171875,0,1999-04-15,-0.0016858874777955224,0.0,
3068.300048828125,0,1999-04-16,-0.003539848829759107,0.0,
3110.800048828125,0,1999-04-19,0.0138513180991644,0.0,
3024.10009765625,0,1999-04-20,-0.02787062807348739,0.0,
3021.39990234375,0,1999-04-21,-0.000892892174631621,0.0,
3065.10009765625,0,1999-04-22,0.01446355885515227,0.0,
3070.300048828125,0,1999-04-23,0.0016965028893676237,0.0,
3101.10009765625,0,1999-04-26,0.010031608747777199,0.0,
3139.0,0,1999-04-27,0.012221437925332923,0.0,
3141.5,0,1999-04-28,0.0007964319847084678,0.0,
3100.89990234375,0,1999-04-29,-0.012923793619688095,0.0,
3125.699951171875,0,1999-04-30,0.007997694091763652,0.0,
3125.699951171875,0,1999-05-03,0.0,0.0,
3121.10009765625,0,1999-05-04,-0.001471623504329167,0.0,
3064.5,0,1999-05-05,-0.01813466274239428,0.0,
3069.199951171875,0,1999-05-06,0.0015336763491189398,0.0,
3047.5,0,1999-05-07,-0.00707023052166722,0.0,
